time,baseflow_month_CNRM-CM5_rcp85
2024-07-31 00:00:00+00:00,0.031696286
2024-08-31 00:00:00+00:00,0.031205278
2024-09-30 00:00:00+00:00,0.03086845
2024-10-31 00:00:00+00:00,0.030594148
2024-11-30 00:00:00+00:00,0.030334005
2024-12-31 00:00:00+00:00,0.030075692
2025-01-31 00:00:00+00:00,0.0321394
2025-02-28 00:00:00+00:00,0.034245767
2025-03-31 00:00:00+00:00,0.03442086
2025-04-30 00:00:00+00:00,0.0345862
2025-05-31 00:00:00+00:00,0.03191716
2025-06-30 00:00:00+00:00,0.029635746
2025-07-31 00:00:00+00:00,0.028751152
2025-08-31 00:00:00+00:00,0.02839811
2025-09-30 00:00:00+00:00,0.028125482
2025-10-31 00:00:00+00:00,0.027885385
2025-11-30 00:00:00+00:00,0.027761448
2025-12-31 00:00:00+00:00,0.027684657
2026-01-31 00:00:00+00:00,0.074181184
2026-02-28 00:00:00+00:00,0.41584834
2026-03-31 00:00:00+00:00,0.26959854
2026-04-30 00:00:00+00:00,0.13924545
2026-05-31 00:00:00+00:00,0.06967751
2026-06-30 00:00:00+00:00,0.05603823
2026-07-31 00:00:00+00:00,0.042132784
2026-08-31 00:00:00+00:00,0.03792893
2026-09-30 00:00:00+00:00,0.0368223
2026-10-31 00:00:00+00:00,0.036239263
2026-11-30 00:00:00+00:00,0.035950456
2026-12-31 00:00:00+00:00,0.03764831
2027-01-31 00:00:00+00:00,0.11519105
2027-02-28 00:00:00+00:00,0.27561116
2027-03-31 00:00:00+00:00,0.49024132
2027-04-30 00:00:00+00:00,0.25732774
2027-05-31 00:00:00+00:00,0.106703095
2027-06-30 00:00:00+00:00,0.06099853
2027-07-31 00:00:00+00:00,0.047132786
2027-08-31 00:00:00+00:00,0.041527636
2027-09-30 00:00:00+00:00,0.039666075
2027-10-31 00:00:00+00:00,0.03870384
2027-11-30 00:00:00+00:00,0.038027074
2027-12-31 00:00:00+00:00,0.037482206
2028-01-31 00:00:00+00:00,0.038036205
2028-02-29 00:00:00+00:00,0.037847262
2028-03-31 00:00:00+00:00,0.0417411
2028-04-30 00:00:00+00:00,0.03943973
2028-05-31 00:00:00+00:00,0.037454784
2028-06-30 00:00:00+00:00,0.03619063
2028-07-31 00:00:00+00:00,0.035070878
2028-08-31 00:00:00+00:00,0.034624018
2028-09-30 00:00:00+00:00,0.034268934
2028-10-31 00:00:00+00:00,0.033950083
2028-11-30 00:00:00+00:00,0.03629741
2028-12-31 00:00:00+00:00,0.041233614
2029-01-31 00:00:00+00:00,0.12652971
2029-02-28 00:00:00+00:00,0.38918507
