time,baseflow_month_CanESM2_rcp85
2023-04-30 00:00:00+00:00,0.04537473
2023-05-31 00:00:00+00:00,0.02898352
2023-06-30 00:00:00+00:00,0.024595095
2023-07-31 00:00:00+00:00,0.023762137
2023-08-31 00:00:00+00:00,0.023532342
2023-09-30 00:00:00+00:00,0.023245929
2023-10-31 00:00:00+00:00,0.023039684
2023-11-30 00:00:00+00:00,0.022853531
2023-12-31 00:00:00+00:00,0.023103105
2024-01-31 00:00:00+00:00,0.02323377
2024-02-29 00:00:00+00:00,0.02839148
2024-03-31 00:00:00+00:00,0.028229972
2024-04-30 00:00:00+00:00,0.024425648
2024-05-31 00:00:00+00:00,0.022698473
2024-06-30 00:00:00+00:00,0.022143405
2024-07-31 00:00:00+00:00,0.021853354
2024-08-31 00:00:00+00:00,0.02164468
2024-09-30 00:00:00+00:00,0.02147023
2024-10-31 00:00:00+00:00,0.021299928
2024-11-30 00:00:00+00:00,0.021129856
2024-12-31 00:00:00+00:00,0.021028008
2025-01-31 00:00:00+00:00,0.08019083
2025-02-28 00:00:00+00:00,0.09578722
2025-03-31 00:00:00+00:00,0.37443757
2025-04-30 00:00:00+00:00,0.22342384
2025-05-31 00:00:00+00:00,0.08724863
2025-06-30 00:00:00+00:00,0.043505244
2025-07-31 00:00:00+00:00,0.03258506
2025-08-31 00:00:00+00:00,0.02993534
2025-09-30 00:00:00+00:00,0.028894125
2025-10-31 00:00:00+00:00,0.028195819
2025-11-30 00:00:00+00:00,0.027675465
2025-12-31 00:00:00+00:00,0.02724259
2026-01-31 00:00:00+00:00,0.059896596
2026-02-28 00:00:00+00:00,0.10018754
2026-03-31 00:00:00+00:00,0.0554631
2026-04-30 00:00:00+00:00,0.04049022
2026-05-31 00:00:00+00:00,0.030792018
2026-06-30 00:00:00+00:00,0.027467137
2026-07-31 00:00:00+00:00,0.026603185
2026-08-31 00:00:00+00:00,0.026290052
2026-09-30 00:00:00+00:00,0.026424343
2026-10-31 00:00:00+00:00,0.026171185
2026-11-30 00:00:00+00:00,0.053218666
2026-12-31 00:00:00+00:00,0.05505143
2027-01-31 00:00:00+00:00,0.066664666
2027-02-28 00:00:00+00:00,0.26025927
2027-03-31 00:00:00+00:00,0.40408534
2027-04-30 00:00:00+00:00,0.50575656
2027-05-31 00:00:00+00:00,0.17880625
2027-06-30 00:00:00+00:00,0.074542396
2027-07-31 00:00:00+00:00,0.04615881
2027-08-31 00:00:00+00:00,0.036347557
2027-09-30 00:00:00+00:00,0.0324133
2027-10-31 00:00:00+00:00,0.031011123
2027-11-30 00:00:00+00:00,0.030462254
2027-12-31 00:00:00+00:00,0.031245578
2028-01-31 00:00:00+00:00,0.032239713
2028-02-29 00:00:00+00:00,0.032349043
2028-03-31 00:00:00+00:00,0.03755423
2028-04-30 00:00:00+00:00,0.038897518
2028-05-31 00:00:00+00:00,0.0308121
2028-06-30 00:00:00+00:00,0.028994279
2028-07-31 00:00:00+00:00,0.028323723
2028-08-31 00:00:00+00:00,0.027929995
2028-09-30 00:00:00+00:00,0.027632982
2028-10-31 00:00:00+00:00,0.027381115
2028-11-30 00:00:00+00:00,0.027140882
2028-12-31 00:00:00+00:00,0.026919281
2029-01-31 00:00:00+00:00,0.026925648
2029-02-28 00:00:00+00:00,0.026765648
2029-03-31 00:00:00+00:00,0.026964614
2029-04-30 00:00:00+00:00,0.026373528
2029-05-31 00:00:00+00:00,0.025988761
2029-06-30 00:00:00+00:00,0.025720574
2029-07-31 00:00:00+00:00,0.025485566
2029-08-31 00:00:00+00:00,0.025265362
2029-09-30 00:00:00+00:00,0.025172837
2029-10-31 00:00:00+00:00,0.024907462
2029-11-30 00:00:00+00:00,0.024663066
2029-12-31 00:00:00+00:00,0.024456445
2030-01-31 00:00:00+00:00,0.040039226
2030-02-28 00:00:00+00:00,0.18765363
2030-03-31 00:00:00+00:00,0.17461324
2030-04-30 00:00:00+00:00,0.07584207
2030-05-31 00:00:00+00:00,0.047065806
2030-06-30 00:00:00+00:00,0.034390774
2030-07-31 00:00:00+00:00,0.030643087
2030-08-31 00:00:00+00:00,0.029838568
2030-09-30 00:00:00+00:00,0.029375104
2030-10-31 00:00:00+00:00,0.02903348
2030-11-30 00:00:00+00:00,0.028764287
2030-12-31 00:00:00+00:00,0.028985322
2031-01-31 00:00:00+00:00,0.029444057
2031-02-28 00:00:00+00:00,0.05910725
2031-03-31 00:00:00+00:00,0.22009122
2031-04-30 00:00:00+00:00,0.12323003
2031-05-31 00:00:00+00:00,0.15299802
2031-06-30 00:00:00+00:00,0.03686567
2031-07-31 00:00:00+00:00,0.029973328
2031-08-31 00:00:00+00:00,0.028281547
2031-09-30 00:00:00+00:00,0.027708175
2031-10-31 00:00:00+00:00,0.028101021
2031-11-30 00:00:00+00:00,0.04012257
2031-12-31 00:00:00+00:00,0.055619255
2032-01-31 00:00:00+00:00,0.34297946
2032-02-29 00:00:00+00:00,0.7677758
2032-03-31 00:00:00+00:00,0.3594601
2032-04-30 00:00:00+00:00,0.12736712
2032-05-31 00:00:00+00:00,0.07079802
2032-06-30 00:00:00+00:00,0.048453737
2032-07-31 00:00:00+00:00,0.039374065
2032-08-31 00:00:00+00:00,0.034831334
2032-09-30 00:00:00+00:00,0.03301723
2032-10-31 00:00:00+00:00,0.032427106
2032-11-30 00:00:00+00:00,0.031968497
2032-12-31 00:00:00+00:00,0.031574015
2033-01-31 00:00:00+00:00,0.070049934
2033-02-28 00:00:00+00:00,0.2915951
2033-03-31 00:00:00+00:00,0.16015783
2033-04-30 00:00:00+00:00,0.16636652
2033-05-31 00:00:00+00:00,0.052039888
2033-06-30 00:00:00+00:00,0.03755971
2033-07-31 00:00:00+00:00,0.032298587
2033-08-31 00:00:00+00:00,0.031076087
2033-09-30 00:00:00+00:00,0.030545702
2033-10-31 00:00:00+00:00,0.03020301
2033-11-30 00:00:00+00:00,0.029934326
2033-12-31 00:00:00+00:00,0.029675717
2034-01-31 00:00:00+00:00,0.029417338
2034-02-28 00:00:00+00:00,0.030927658
2034-03-31 00:00:00+00:00,0.031489883
2034-04-30 00:00:00+00:00,0.035005406
2034-05-31 00:00:00+00:00,0.031702213
2034-06-30 00:00:00+00:00,0.029483853
2034-07-31 00:00:00+00:00,0.028645327
2034-08-31 00:00:00+00:00,0.0283288
2034-09-30 00:00:00+00:00,0.028252533
2034-10-31 00:00:00+00:00,0.02801096
2034-11-30 00:00:00+00:00,0.027789878
2034-12-31 00:00:00+00:00,0.027732646
2035-01-31 00:00:00+00:00,0.048866764
2035-02-28 00:00:00+00:00,0.1458325
2035-03-31 00:00:00+00:00,0.2657851
2035-04-30 00:00:00+00:00,0.17058091
2035-05-31 00:00:00+00:00,0.06956561
2035-06-30 00:00:00+00:00,0.042337608
2035-07-31 00:00:00+00:00,0.03621019
2035-08-31 00:00:00+00:00,0.034950048
2035-09-30 00:00:00+00:00,0.034016896
2035-10-31 00:00:00+00:00,0.033354368
2035-11-30 00:00:00+00:00,0.032926545
