time,soilmoist1_month_HadGEM2-ES_rcp85
2021-06-30 00:00:00+00:00,5.6559024
2021-07-31 00:00:00+00:00,5.421412
2021-08-31 00:00:00+00:00,7.1556234
2021-09-30 00:00:00+00:00,5.852814
2021-10-31 00:00:00+00:00,5.7493944
2021-11-30 00:00:00+00:00,7.0207343
2021-12-31 00:00:00+00:00,11.022365
2022-01-31 00:00:00+00:00,13.973734
2022-02-28 00:00:00+00:00,12.036816
2022-03-31 00:00:00+00:00,10.618928
2022-04-30 00:00:00+00:00,6.304444
2022-05-31 00:00:00+00:00,5.3517694
2022-06-30 00:00:00+00:00,5.354225
2022-07-31 00:00:00+00:00,5.937335
2022-08-31 00:00:00+00:00,7.6352572
2022-09-30 00:00:00+00:00,8.779554
2022-10-31 00:00:00+00:00,5.802132
2022-11-30 00:00:00+00:00,5.4396906
2022-12-31 00:00:00+00:00,7.552416
2023-01-31 00:00:00+00:00,7.4767065
2023-02-28 00:00:00+00:00,15.60821
2023-03-31 00:00:00+00:00,15.623898
2023-04-30 00:00:00+00:00,11.218668
2023-05-31 00:00:00+00:00,6.3574758
2023-06-30 00:00:00+00:00,5.370349
2023-07-31 00:00:00+00:00,5.6064606
2023-08-31 00:00:00+00:00,8.300799
2023-09-30 00:00:00+00:00,6.7182617
2023-10-31 00:00:00+00:00,6.6371903
2023-11-30 00:00:00+00:00,9.435739
2023-12-31 00:00:00+00:00,11.334784
2024-01-31 00:00:00+00:00,13.577274
2024-02-29 00:00:00+00:00,10.921809
2024-03-31 00:00:00+00:00,18.351995
2024-04-30 00:00:00+00:00,12.530998
2024-05-31 00:00:00+00:00,5.7830067
2024-06-30 00:00:00+00:00,5.381403
2024-07-31 00:00:00+00:00,5.5182247
2024-08-31 00:00:00+00:00,5.7299128
2024-09-30 00:00:00+00:00,6.451894
2024-10-31 00:00:00+00:00,9.198575
2024-11-30 00:00:00+00:00,10.495008
2024-12-31 00:00:00+00:00,14.114002
2025-01-31 00:00:00+00:00,17.105133
2025-02-28 00:00:00+00:00,11.057837
2025-03-31 00:00:00+00:00,9.526969
2025-04-30 00:00:00+00:00,5.9878006
2025-05-31 00:00:00+00:00,5.783203
2025-06-30 00:00:00+00:00,5.3154917
2025-07-31 00:00:00+00:00,6.196279
2025-08-31 00:00:00+00:00,10.165324
2025-09-30 00:00:00+00:00,7.4734564
2025-10-31 00:00:00+00:00,5.320201
2025-11-30 00:00:00+00:00,6.6304374
2025-12-31 00:00:00+00:00,13.183148
2026-01-31 00:00:00+00:00,15.083517
2026-02-28 00:00:00+00:00,14.722957
