time,et_month_CNRM-CM5_rcp85
2027-02-28 00:00:00+00:00,1.0590047
2027-03-31 00:00:00+00:00,1.6203523
2027-04-30 00:00:00+00:00,1.9042687
2027-05-31 00:00:00+00:00,0.7817403
2027-06-30 00:00:00+00:00,0.19964652
2027-07-31 00:00:00+00:00,0.0975939
2027-08-31 00:00:00+00:00,0.089973815
2027-09-30 00:00:00+00:00,0.15493584
2027-10-31 00:00:00+00:00,0.14308394
2027-11-30 00:00:00+00:00,0.0367899
2027-12-31 00:00:00+00:00,0.18996562
2028-01-31 00:00:00+00:00,0.26728708
2028-02-29 00:00:00+00:00,0.33371928
2028-03-31 00:00:00+00:00,0.33919117
2028-04-30 00:00:00+00:00,0.22025251
2028-05-31 00:00:00+00:00,0.19596471
2028-06-30 00:00:00+00:00,0.059684183
2028-07-31 00:00:00+00:00,0.20825659
2028-08-31 00:00:00+00:00,0.12545475
2028-09-30 00:00:00+00:00,0.6080025
2028-10-31 00:00:00+00:00,0.11046718
2028-11-30 00:00:00+00:00,0.51862645
2028-12-31 00:00:00+00:00,0.6374083
2029-01-31 00:00:00+00:00,0.6668522
2029-02-28 00:00:00+00:00,0.9133843
2029-03-31 00:00:00+00:00,1.2708558
2029-04-30 00:00:00+00:00,0.8956846
2029-05-31 00:00:00+00:00,0.34559727
2029-06-30 00:00:00+00:00,0.14966576
2029-07-31 00:00:00+00:00,0.21942087
2029-08-31 00:00:00+00:00,0.5286115
2029-09-30 00:00:00+00:00,0.44205707
2029-10-31 00:00:00+00:00,0.051504135
2029-11-30 00:00:00+00:00,0.10517694
2029-12-31 00:00:00+00:00,0.030417401
2030-01-31 00:00:00+00:00,0.3817426
2030-02-28 00:00:00+00:00,0.5151027
2030-03-31 00:00:00+00:00,0.5860523
2030-04-30 00:00:00+00:00,0.40642208
2030-05-31 00:00:00+00:00,0.3407578
2030-06-30 00:00:00+00:00,0.14632758
2030-07-31 00:00:00+00:00,0.12576976
2030-08-31 00:00:00+00:00,0.15669188
2030-09-30 00:00:00+00:00,0.08350276
2030-10-31 00:00:00+00:00,0.06948623
2030-11-30 00:00:00+00:00,0.30469987
2030-12-31 00:00:00+00:00,0.5611091
2031-01-31 00:00:00+00:00,0.78480595
2031-02-28 00:00:00+00:00,0.75942063
2031-03-31 00:00:00+00:00,1.0391079
2031-04-30 00:00:00+00:00,0.7267562
2031-05-31 00:00:00+00:00,0.40870366
2031-06-30 00:00:00+00:00,0.23881006
2031-07-31 00:00:00+00:00,0.14982152
2031-08-31 00:00:00+00:00,0.1985425
2031-09-30 00:00:00+00:00,0.1307746
2031-10-31 00:00:00+00:00,0.6744668
2031-11-30 00:00:00+00:00,0.64850295
2031-12-31 00:00:00+00:00,0.96274203
2032-01-31 00:00:00+00:00,0.9027306
2032-02-29 00:00:00+00:00,1.1135751
2032-03-31 00:00:00+00:00,1.4190006
2032-04-30 00:00:00+00:00,1.5091943
2032-05-31 00:00:00+00:00,0.82635343
2032-06-30 00:00:00+00:00,0.39991722
2032-07-31 00:00:00+00:00,0.06422565
2032-08-31 00:00:00+00:00,0.12193104
2032-09-30 00:00:00+00:00,0.2968038
2032-10-31 00:00:00+00:00,0.2265514
2032-11-30 00:00:00+00:00,0.3003161
2032-12-31 00:00:00+00:00,0.33252722
2033-01-31 00:00:00+00:00,0.53278345
2033-02-28 00:00:00+00:00,0.7586357
2033-03-31 00:00:00+00:00,0.82211775
2033-04-30 00:00:00+00:00,0.4428726
2033-05-31 00:00:00+00:00,0.25007978
2033-06-30 00:00:00+00:00,0.08421742
2033-07-31 00:00:00+00:00,0.029895324
2033-08-31 00:00:00+00:00,1.0824013
2033-09-30 00:00:00+00:00,0.44528696
2033-10-31 00:00:00+00:00,0.13948448
2033-11-30 00:00:00+00:00,0.49662694
2033-12-31 00:00:00+00:00,0.47792852
2034-01-31 00:00:00+00:00,0.7032513
2034-02-28 00:00:00+00:00,0.6824586
2034-03-31 00:00:00+00:00,0.8739223
2034-04-30 00:00:00+00:00,0.4214272
2034-05-31 00:00:00+00:00,0.2563892
2034-06-30 00:00:00+00:00,0.082715094
2034-07-31 00:00:00+00:00,0.16002591
2034-08-31 00:00:00+00:00,0.20022494
2034-09-30 00:00:00+00:00,0.1265817
2034-10-31 00:00:00+00:00,0.2276325
2034-11-30 00:00:00+00:00,0.25436014
2034-12-31 00:00:00+00:00,0.6757077
2035-01-31 00:00:00+00:00,0.46135134
2035-02-28 00:00:00+00:00,0.5297206
