time,et_month_CanESM2_rcp85
2025-10-31 00:00:00+00:00,0.107215114
2025-11-30 00:00:00+00:00,0.06852196
2025-12-31 00:00:00+00:00,0.06692154
2026-01-31 00:00:00+00:00,0.87450033
2026-02-28 00:00:00+00:00,0.7190153
2026-03-31 00:00:00+00:00,0.630997
2026-04-30 00:00:00+00:00,0.69032353
2026-05-31 00:00:00+00:00,0.38727
2026-06-30 00:00:00+00:00,0.16303001
2026-07-31 00:00:00+00:00,0.115627386
2026-08-31 00:00:00+00:00,0.35297742
2026-09-30 00:00:00+00:00,0.6800148
2026-10-31 00:00:00+00:00,0.1713207
2026-11-30 00:00:00+00:00,0.8824392
2026-12-31 00:00:00+00:00,0.46494898
2027-01-31 00:00:00+00:00,0.29468763
2027-02-28 00:00:00+00:00,1.1072128
2027-03-31 00:00:00+00:00,1.52034
2027-04-30 00:00:00+00:00,1.807576
2027-05-31 00:00:00+00:00,1.208957
2027-06-30 00:00:00+00:00,0.43226165
2027-07-31 00:00:00+00:00,0.22947966
2027-08-31 00:00:00+00:00,0.26545137
2027-09-30 00:00:00+00:00,0.05757844
2027-10-31 00:00:00+00:00,0.03881304
2027-11-30 00:00:00+00:00,0.20682126
2027-12-31 00:00:00+00:00,0.37846392
2028-01-31 00:00:00+00:00,0.3029101
2028-02-29 00:00:00+00:00,0.429443
2028-03-31 00:00:00+00:00,0.48431405
2028-04-30 00:00:00+00:00,0.35372746
2028-05-31 00:00:00+00:00,0.10069467
2028-06-30 00:00:00+00:00,0.07731287
2028-07-31 00:00:00+00:00,0.075060084
2028-08-31 00:00:00+00:00,0.059958883
2028-09-30 00:00:00+00:00,0.007890326
2028-10-31 00:00:00+00:00,0.07302341
2028-11-30 00:00:00+00:00,0.067831635
2028-12-31 00:00:00+00:00,0.16395181
2029-01-31 00:00:00+00:00,0.17485623
2029-02-28 00:00:00+00:00,0.11621909
2029-03-31 00:00:00+00:00,0.2754175
2029-04-30 00:00:00+00:00,0.071559206
2029-05-31 00:00:00+00:00,0.0654217
2029-06-30 00:00:00+00:00,0.01860626
2029-07-31 00:00:00+00:00,0.0026807834
2029-08-31 00:00:00+00:00,0.20674942
2029-09-30 00:00:00+00:00,0.21810856
2029-10-31 00:00:00+00:00,0.15204114
2029-11-30 00:00:00+00:00,0.08790772
2029-12-31 00:00:00+00:00,0.16569759
2030-01-31 00:00:00+00:00,0.8247709
2030-02-28 00:00:00+00:00,1.1057177
2030-03-31 00:00:00+00:00,1.2835046
2030-04-30 00:00:00+00:00,0.9021778
2030-05-31 00:00:00+00:00,0.4457352
2030-06-30 00:00:00+00:00,0.2234455
2030-07-31 00:00:00+00:00,0.29783866
2030-08-31 00:00:00+00:00,0.17615594
2030-09-30 00:00:00+00:00,0.33021116
2030-10-31 00:00:00+00:00,0.24421653
2030-11-30 00:00:00+00:00,0.14547859
2030-12-31 00:00:00+00:00,0.25362208
2031-01-31 00:00:00+00:00,0.23810759
2031-02-28 00:00:00+00:00,0.76360667
2031-03-31 00:00:00+00:00,1.3599207
2031-04-30 00:00:00+00:00,0.8892455
2031-05-31 00:00:00+00:00,1.073581
2031-06-30 00:00:00+00:00,0.3517306
2031-07-31 00:00:00+00:00,0.23288323
2031-08-31 00:00:00+00:00,0.36499545
2031-09-30 00:00:00+00:00,0.6003033
2031-10-31 00:00:00+00:00,0.37824693
2031-11-30 00:00:00+00:00,0.6308435
2031-12-31 00:00:00+00:00,0.4824536
2032-01-31 00:00:00+00:00,0.9753056
2032-02-29 00:00:00+00:00,1.2878808
2032-03-31 00:00:00+00:00,1.473863
2032-04-30 00:00:00+00:00,1.2006404
2032-05-31 00:00:00+00:00,0.5652896
2032-06-30 00:00:00+00:00,0.14020546
2032-07-31 00:00:00+00:00,0.19430734
2032-08-31 00:00:00+00:00,0.11185522
2032-09-30 00:00:00+00:00,0.041503925
2032-10-31 00:00:00+00:00,0.0962131
