time,rainfall_month_CNRM-CM5_rcp45
2020-07-31 00:00:00+00:00,0.17880177
2020-08-31 00:00:00+00:00,0.15351465
2020-09-30 00:00:00+00:00,0.02331855
2020-10-31 00:00:00+00:00,0.011358341
2020-11-30 00:00:00+00:00,0.027052231
2020-12-31 00:00:00+00:00,0.28377274
2021-01-31 00:00:00+00:00,1.4205173
2021-02-28 00:00:00+00:00,0.63828784
2021-03-31 00:00:00+00:00,0.8017237
2021-04-30 00:00:00+00:00,0.06973059
2021-05-31 00:00:00+00:00,0.0035041638
2021-06-30 00:00:00+00:00,0.0003652663
2021-07-31 00:00:00+00:00,0.21414642
2021-08-31 00:00:00+00:00,0.1720382
2021-09-30 00:00:00+00:00,0.0761423
2021-10-31 00:00:00+00:00,0.033262067
2021-11-30 00:00:00+00:00,0.0037934128
2021-12-31 00:00:00+00:00,0.10350797
2022-01-31 00:00:00+00:00,1.2034943
2022-02-28 00:00:00+00:00,0.2991454
2022-03-31 00:00:00+00:00,0.516
2022-04-30 00:00:00+00:00,0.054370694
2022-05-31 00:00:00+00:00,0.057939462
2022-06-30 00:00:00+00:00,0.0051776804
2022-07-31 00:00:00+00:00,0.7594634
2022-08-31 00:00:00+00:00,0.31146595
2022-09-30 00:00:00+00:00,0.31640366
2022-10-31 00:00:00+00:00,0.08598768
2022-11-30 00:00:00+00:00,0.8707174
2022-12-31 00:00:00+00:00,0.34968117
2023-01-31 00:00:00+00:00,0.4086547
2023-02-28 00:00:00+00:00,1.1261532
2023-03-31 00:00:00+00:00,1.1705537
2023-04-30 00:00:00+00:00,0.013663434
2023-05-31 00:00:00+00:00,0.100510955
2023-06-30 00:00:00+00:00,0.0311945
2023-07-31 00:00:00+00:00,0.65434706
2023-08-31 00:00:00+00:00,0.085772716
2023-09-30 00:00:00+00:00,0.40420952
2023-10-31 00:00:00+00:00,0.003003489
2023-11-30 00:00:00+00:00,1.1072859
2023-12-31 00:00:00+00:00,1.2622873
2024-01-31 00:00:00+00:00,1.4579055
2024-02-29 00:00:00+00:00,2.276746
2024-03-31 00:00:00+00:00,1.0624119
2024-04-30 00:00:00+00:00,0.26639733
2024-05-31 00:00:00+00:00,0.120877616
2024-06-30 00:00:00+00:00,6.984241e-05
2024-07-31 00:00:00+00:00,0.08216853
2024-08-31 00:00:00+00:00,0.013381551
2024-09-30 00:00:00+00:00,0.0202786
2024-10-31 00:00:00+00:00,0.022990974
2024-11-30 00:00:00+00:00,0.55194616
2024-12-31 00:00:00+00:00,0.17227921
2025-01-31 00:00:00+00:00,0.46681184
2025-02-28 00:00:00+00:00,5.550519
2025-03-31 00:00:00+00:00,0.09217712
2025-04-30 00:00:00+00:00,0.40414083
2025-05-31 00:00:00+00:00,0.10827407
2025-06-30 00:00:00+00:00,0.0028900725
2025-07-31 00:00:00+00:00,0.091975346
2025-08-31 00:00:00+00:00,0.16238908
2025-09-30 00:00:00+00:00,0.091774814
2025-10-31 00:00:00+00:00,0.0014601508
2025-11-30 00:00:00+00:00,0.86188716
2025-12-31 00:00:00+00:00,0.1472417
2026-01-31 00:00:00+00:00,0.94130963
2026-02-28 00:00:00+00:00,1.1623213
2026-03-31 00:00:00+00:00,0.3389023
2026-04-30 00:00:00+00:00,0.13920191
2026-05-31 00:00:00+00:00,0.058961436
2026-06-30 00:00:00+00:00,0.06108664
2026-07-31 00:00:00+00:00,0.015909735
2026-08-31 00:00:00+00:00,0.104905725
2026-09-30 00:00:00+00:00,0.110639706
2026-10-31 00:00:00+00:00,0.014200933
2026-11-30 00:00:00+00:00,0.72237545
2026-12-31 00:00:00+00:00,1.1123339
2027-01-31 00:00:00+00:00,3.5367064
2027-02-28 00:00:00+00:00,1.2265669
2027-03-31 00:00:00+00:00,0.9764196
2027-04-30 00:00:00+00:00,0.8326358
2027-05-31 00:00:00+00:00,0.0836971
2027-06-30 00:00:00+00:00,6.626075e-05
2027-07-31 00:00:00+00:00,0.00030155282
2027-08-31 00:00:00+00:00,0.09615376
2027-09-30 00:00:00+00:00,0.04957781
2027-10-31 00:00:00+00:00,0.019036533
2027-11-30 00:00:00+00:00,0.26360795
2027-12-31 00:00:00+00:00,1.2003027
2028-01-31 00:00:00+00:00,1.3380215
2028-02-29 00:00:00+00:00,0.8445719
2028-03-31 00:00:00+00:00,0.0010529233
2028-04-30 00:00:00+00:00,0.105437174
2028-05-31 00:00:00+00:00,0.05398245
2028-06-30 00:00:00+00:00,0.0007652818
2028-07-31 00:00:00+00:00,0.32215086
2028-08-31 00:00:00+00:00,0.36269295
2028-09-30 00:00:00+00:00,0.18837762
2028-10-31 00:00:00+00:00,0.06781327
2028-11-30 00:00:00+00:00,0.0645674
2028-12-31 00:00:00+00:00,0.017755872
2029-01-31 00:00:00+00:00,0.9411881
2029-02-28 00:00:00+00:00,0.5791853
2029-03-31 00:00:00+00:00,0.15791968
2029-04-30 00:00:00+00:00,0.021668276
2029-05-31 00:00:00+00:00,0.029131358
2029-06-30 00:00:00+00:00,0.07534588
2029-07-31 00:00:00+00:00,0.09070685
2029-08-31 00:00:00+00:00,0.39103603
2029-09-30 00:00:00+00:00,0.18759955
2029-10-31 00:00:00+00:00,0.011285517
2029-11-30 00:00:00+00:00,0.13492191
2029-12-31 00:00:00+00:00,0.26813585
2030-01-31 00:00:00+00:00,2.102197
2030-02-28 00:00:00+00:00,0.06389524
2030-03-31 00:00:00+00:00,0.918894
2030-04-30 00:00:00+00:00,0.5549773
2030-05-31 00:00:00+00:00,0.01184561
2030-06-30 00:00:00+00:00,0.006524594
2030-07-31 00:00:00+00:00,0.34566435
2030-08-31 00:00:00+00:00,2.1761131
2030-09-30 00:00:00+00:00,0.29990095
2030-10-31 00:00:00+00:00,0.58627754
2030-11-30 00:00:00+00:00,0.56888753
2030-12-31 00:00:00+00:00,0.0565902
2031-01-31 00:00:00+00:00,1.2910197
2031-02-28 00:00:00+00:00,0.53669184
2031-03-31 00:00:00+00:00,1.6215645
2031-04-30 00:00:00+00:00,0.2218107
2031-05-31 00:00:00+00:00,0.02876462
2031-06-30 00:00:00+00:00,0.27976072
2031-07-31 00:00:00+00:00,0.14203312
2031-08-31 00:00:00+00:00,0.32263726
2031-09-30 00:00:00+00:00,0.020226855
2031-10-31 00:00:00+00:00,0.6185524
2031-11-30 00:00:00+00:00,0.6363833
2031-12-31 00:00:00+00:00,0.25306
2032-01-31 00:00:00+00:00,1.7459476
2032-02-29 00:00:00+00:00,1.4424165
2032-03-31 00:00:00+00:00,2.4411354
2032-04-30 00:00:00+00:00,0.53257024
2032-05-31 00:00:00+00:00,0.0075267404
2032-06-30 00:00:00+00:00,0.013068887
2032-07-31 00:00:00+00:00,0.031336077
2032-08-31 00:00:00+00:00,1.291827
2032-09-30 00:00:00+00:00,0.008037846
2032-10-31 00:00:00+00:00,0.08651568
2032-11-30 00:00:00+00:00,0.58743703
2032-12-31 00:00:00+00:00,0.75785935
2033-01-31 00:00:00+00:00,0.025235118
2033-02-28 00:00:00+00:00,1.7825854
2033-03-31 00:00:00+00:00,0.12259246
2033-04-30 00:00:00+00:00,0.34970683
2033-05-31 00:00:00+00:00,0.12797044
2033-06-30 00:00:00+00:00,0.16658916
2033-07-31 00:00:00+00:00,0.2834659
2033-08-31 00:00:00+00:00,0.1104544
2033-09-30 00:00:00+00:00,0.0678289
2033-10-31 00:00:00+00:00,0.0010292017
2033-11-30 00:00:00+00:00,0.9861177
2033-12-31 00:00:00+00:00,0.3244489
2034-01-31 00:00:00+00:00,1.0285162
2034-02-28 00:00:00+00:00,1.6610883
2034-03-31 00:00:00+00:00,0.26089403
2034-04-30 00:00:00+00:00,0.7952952
2034-05-31 00:00:00+00:00,0.075632006
2034-06-30 00:00:00+00:00,0.025851166
2034-07-31 00:00:00+00:00,0.38749027
2034-08-31 00:00:00+00:00,1.7256678
2034-09-30 00:00:00+00:00,1.5119199
2034-10-31 00:00:00+00:00,0.0
2034-11-30 00:00:00+00:00,0.5561272
2034-12-31 00:00:00+00:00,1.0951897
2035-01-31 00:00:00+00:00,3.750008
2035-02-28 00:00:00+00:00,1.5352821
2035-03-31 00:00:00+00:00,0.0216481
2035-04-30 00:00:00+00:00,0.13416313
2035-05-31 00:00:00+00:00,0.0730248
2035-06-30 00:00:00+00:00,0.0016272528
2035-07-31 00:00:00+00:00,0.08789744
2035-08-31 00:00:00+00:00,0.3576138
2035-09-30 00:00:00+00:00,0.26592013
2035-10-31 00:00:00+00:00,0.07301754
2035-11-30 00:00:00+00:00,0.64217585
2035-12-31 00:00:00+00:00,0.44428474
2036-01-31 00:00:00+00:00,1.703373
2036-02-29 00:00:00+00:00,2.0483248
2036-03-31 00:00:00+00:00,1.279998
2036-04-30 00:00:00+00:00,0.16195334
2036-05-31 00:00:00+00:00,0.020454263
2036-06-30 00:00:00+00:00,0.0059174895
2036-07-31 00:00:00+00:00,0.8856266
2036-08-31 00:00:00+00:00,0.36704874
2036-09-30 00:00:00+00:00,0.062719785
2036-10-31 00:00:00+00:00,0.13114719
2036-11-30 00:00:00+00:00,0.5097214
2036-12-31 00:00:00+00:00,0.68206793
2037-01-31 00:00:00+00:00,1.7033516
2037-02-28 00:00:00+00:00,3.5461638
2037-03-31 00:00:00+00:00,0.7276204
2037-04-30 00:00:00+00:00,0.09134119
2037-05-31 00:00:00+00:00,0.16007993
2037-06-30 00:00:00+00:00,5.909742e-05
2037-07-31 00:00:00+00:00,0.025222406
2037-08-31 00:00:00+00:00,0.45968956
2037-09-30 00:00:00+00:00,0.013464403
2037-10-31 00:00:00+00:00,2.195212e-05
2037-11-30 00:00:00+00:00,0.26408216
2037-12-31 00:00:00+00:00,0.68118614
2038-01-31 00:00:00+00:00,1.5241175
2038-02-28 00:00:00+00:00,1.130013
2038-03-31 00:00:00+00:00,0.6112574
2038-04-30 00:00:00+00:00,0.28009063
2038-05-31 00:00:00+00:00,0.03189849
2038-06-30 00:00:00+00:00,0.03493345
2038-07-31 00:00:00+00:00,0.20138471
2038-08-31 00:00:00+00:00,1.4520952
2038-09-30 00:00:00+00:00,0.022339784
2038-10-31 00:00:00+00:00,0.43408594
2038-11-30 00:00:00+00:00,0.384511
2038-12-31 00:00:00+00:00,0.5948221
2039-01-31 00:00:00+00:00,1.3714906
2039-02-28 00:00:00+00:00,1.1447821
2039-03-31 00:00:00+00:00,0.66917896
2039-04-30 00:00:00+00:00,0.062375497
2039-05-31 00:00:00+00:00,0.03162885
2039-06-30 00:00:00+00:00,0.010927621
2039-07-31 00:00:00+00:00,0.3182399
2039-08-31 00:00:00+00:00,1.1106676
2039-09-30 00:00:00+00:00,0.21704546
2039-10-31 00:00:00+00:00,0.37852657
2039-11-30 00:00:00+00:00,0.13194552
2039-12-31 00:00:00+00:00,0.30976075
2040-01-31 00:00:00+00:00,0.0307242
2040-02-29 00:00:00+00:00,1.1548682
2040-03-31 00:00:00+00:00,0.09199314
2040-04-30 00:00:00+00:00,0.05193156
2040-05-31 00:00:00+00:00,0.31927305
2040-06-30 00:00:00+00:00,0.0355315
2040-07-31 00:00:00+00:00,0.08926657
2040-08-31 00:00:00+00:00,1.5603989
2040-09-30 00:00:00+00:00,0.112260245
2040-10-31 00:00:00+00:00,0.020792102
2040-11-30 00:00:00+00:00,0.47004738
2040-12-31 00:00:00+00:00,1.0853903
2041-01-31 00:00:00+00:00,1.0199734
2041-02-28 00:00:00+00:00,0.8418176
2041-03-31 00:00:00+00:00,1.2603722
2041-04-30 00:00:00+00:00,0.11277651
2041-05-31 00:00:00+00:00,0.11084876
2041-06-30 00:00:00+00:00,0.0024842117
2041-07-31 00:00:00+00:00,0.14044967
2041-08-31 00:00:00+00:00,0.12762097
2041-09-30 00:00:00+00:00,0.24671562
2041-10-31 00:00:00+00:00,0.05075977
2041-11-30 00:00:00+00:00,0.232078
2041-12-31 00:00:00+00:00,0.15896499
2042-01-31 00:00:00+00:00,0.3999597
2042-02-28 00:00:00+00:00,0.73674715
2042-03-31 00:00:00+00:00,0.639391
2042-04-30 00:00:00+00:00,0.25110385
2042-05-31 00:00:00+00:00,0.049377415
2042-06-30 00:00:00+00:00,1.1938873e-06
2042-07-31 00:00:00+00:00,0.22892538
2042-08-31 00:00:00+00:00,0.744311
2042-09-30 00:00:00+00:00,0.08685121
2042-10-31 00:00:00+00:00,0.28161165
2042-11-30 00:00:00+00:00,0.022813693
2042-12-31 00:00:00+00:00,1.4399123
2043-01-31 00:00:00+00:00,1.4562826
2043-02-28 00:00:00+00:00,0.46115887
2043-03-31 00:00:00+00:00,0.8706895
2043-04-30 00:00:00+00:00,0.04044901
2043-05-31 00:00:00+00:00,0.038299043
2043-06-30 00:00:00+00:00,0.07301586
2043-07-31 00:00:00+00:00,0.0039536925
2043-08-31 00:00:00+00:00,1.241787
2043-09-30 00:00:00+00:00,0.11760957
2043-10-31 00:00:00+00:00,0.5947437
2043-11-30 00:00:00+00:00,0.46425128
2043-12-31 00:00:00+00:00,0.18539967
2044-01-31 00:00:00+00:00,2.0770056
2044-02-29 00:00:00+00:00,4.724515
2044-03-31 00:00:00+00:00,2.181091
2044-04-30 00:00:00+00:00,0.47847217
2044-05-31 00:00:00+00:00,0.16023362
2044-06-30 00:00:00+00:00,0.00023221107
2044-07-31 00:00:00+00:00,0.027442463
2044-08-31 00:00:00+00:00,0.20748106
2044-09-30 00:00:00+00:00,0.010427545
2044-10-31 00:00:00+00:00,0.00022529809
2044-11-30 00:00:00+00:00,1.5570992
2044-12-31 00:00:00+00:00,1.140155
2045-01-31 00:00:00+00:00,5.5242686
