time,soilmoist1_month_CanESM2_rcp85
2020-12-31 00:00:00+00:00,10.819314
2021-01-31 00:00:00+00:00,14.304942
2021-02-28 00:00:00+00:00,16.807724
2021-03-31 00:00:00+00:00,10.829455
2021-04-30 00:00:00+00:00,6.80801
2021-05-31 00:00:00+00:00,5.660291
2021-06-30 00:00:00+00:00,5.4273686
2021-07-31 00:00:00+00:00,5.4345555
2021-08-31 00:00:00+00:00,10.504253
2021-09-30 00:00:00+00:00,7.6647077
2021-10-31 00:00:00+00:00,5.8219843
2021-11-30 00:00:00+00:00,6.1030693
2021-12-31 00:00:00+00:00,8.4677725
2022-01-31 00:00:00+00:00,10.050638
2022-02-28 00:00:00+00:00,9.713532
2022-03-31 00:00:00+00:00,10.525418
2022-04-30 00:00:00+00:00,11.033643
2022-05-31 00:00:00+00:00,6.6515813
2022-06-30 00:00:00+00:00,5.750929
2022-07-31 00:00:00+00:00,6.6034155
2022-08-31 00:00:00+00:00,11.852946
2022-09-30 00:00:00+00:00,9.005764
2022-10-31 00:00:00+00:00,5.74027
2022-11-30 00:00:00+00:00,5.591336
2022-12-31 00:00:00+00:00,14.811291
2023-01-31 00:00:00+00:00,14.189382
2023-02-28 00:00:00+00:00,16.131308
2023-03-31 00:00:00+00:00,10.497549
2023-04-30 00:00:00+00:00,6.9017644
2023-05-31 00:00:00+00:00,5.5866275
2023-06-30 00:00:00+00:00,5.4394236
2023-07-31 00:00:00+00:00,7.6448474
2023-08-31 00:00:00+00:00,7.384522
2023-09-30 00:00:00+00:00,6.1176724
2023-10-31 00:00:00+00:00,6.1813874
2023-11-30 00:00:00+00:00,6.645342
2023-12-31 00:00:00+00:00,8.271499
2024-01-31 00:00:00+00:00,8.256244
2024-02-29 00:00:00+00:00,14.533002
2024-03-31 00:00:00+00:00,8.769681
2024-04-30 00:00:00+00:00,5.4181337
2024-05-31 00:00:00+00:00,5.3377557
2024-06-30 00:00:00+00:00,5.4670577
2024-07-31 00:00:00+00:00,5.5406017
2024-08-31 00:00:00+00:00,6.6796637
2024-09-30 00:00:00+00:00,5.49857
2024-10-31 00:00:00+00:00,7.2723923
2024-11-30 00:00:00+00:00,5.77888
2024-12-31 00:00:00+00:00,7.9432607
2025-01-31 00:00:00+00:00,18.754398
2025-02-28 00:00:00+00:00,15.888376
2025-03-31 00:00:00+00:00,19.82664
2025-04-30 00:00:00+00:00,12.503349
2025-05-31 00:00:00+00:00,5.95682
2025-06-30 00:00:00+00:00,5.5617685
2025-07-31 00:00:00+00:00,5.5676537
2025-08-31 00:00:00+00:00,7.618128
2025-09-30 00:00:00+00:00,6.2702785
2025-10-31 00:00:00+00:00,5.9749255
2025-11-30 00:00:00+00:00,5.8678026
2025-12-31 00:00:00+00:00,6.174219
2026-01-31 00:00:00+00:00,17.632092
2026-02-28 00:00:00+00:00,14.652664
2026-03-31 00:00:00+00:00,7.574798
2026-04-30 00:00:00+00:00,7.4713454
2026-05-31 00:00:00+00:00,6.312606
2026-06-30 00:00:00+00:00,5.7699046
2026-07-31 00:00:00+00:00,5.7910666
2026-08-31 00:00:00+00:00,7.255197
2026-09-30 00:00:00+00:00,9.657317
2026-10-31 00:00:00+00:00,6.047404
2026-11-30 00:00:00+00:00,16.674261
2026-12-31 00:00:00+00:00,12.346337
2027-01-31 00:00:00+00:00,13.607222
2027-02-28 00:00:00+00:00,18.825207
2027-03-31 00:00:00+00:00,14.4701605
2027-04-30 00:00:00+00:00,16.535648
2027-05-31 00:00:00+00:00,7.476329
2027-06-30 00:00:00+00:00,5.48187
2027-07-31 00:00:00+00:00,5.688115
2027-08-31 00:00:00+00:00,6.66778
2027-09-30 00:00:00+00:00,5.6749573
2027-10-31 00:00:00+00:00,5.497634
2027-11-30 00:00:00+00:00,6.6898184
