time,soilmoist1_month_MIROC5_rcp85
2020-07-31 00:00:00+00:00,7.353695
2020-08-31 00:00:00+00:00,6.979681
2020-09-30 00:00:00+00:00,6.2033334
2020-10-31 00:00:00+00:00,5.4950457
2020-11-30 00:00:00+00:00,7.9904666
2020-12-31 00:00:00+00:00,12.47656
2021-01-31 00:00:00+00:00,8.9760895
2021-02-28 00:00:00+00:00,17.138384
2021-03-31 00:00:00+00:00,10.837838
2021-04-30 00:00:00+00:00,7.906015
2021-05-31 00:00:00+00:00,5.956808
2021-06-30 00:00:00+00:00,5.3159704
2021-07-31 00:00:00+00:00,5.7702546
2021-08-31 00:00:00+00:00,6.401944
2021-09-30 00:00:00+00:00,9.124703
2021-10-31 00:00:00+00:00,5.7422953
2021-11-30 00:00:00+00:00,9.258344
2021-12-31 00:00:00+00:00,9.448054
2022-01-31 00:00:00+00:00,12.730186
2022-02-28 00:00:00+00:00,11.737367
2022-03-31 00:00:00+00:00,8.957701
2022-04-30 00:00:00+00:00,5.718454
2022-05-31 00:00:00+00:00,5.8143053
2022-06-30 00:00:00+00:00,5.405559
2022-07-31 00:00:00+00:00,5.972059
2022-08-31 00:00:00+00:00,6.4349504
2022-09-30 00:00:00+00:00,5.7582855
2022-10-31 00:00:00+00:00,5.328112
2022-11-30 00:00:00+00:00,5.7597218
2022-12-31 00:00:00+00:00,11.065573
2023-01-31 00:00:00+00:00,14.125085
2023-02-28 00:00:00+00:00,14.465677
2023-03-31 00:00:00+00:00,14.224587
2023-04-30 00:00:00+00:00,7.272034
2023-05-31 00:00:00+00:00,5.469781
2023-06-30 00:00:00+00:00,5.7668324
2023-07-31 00:00:00+00:00,6.1587543
2023-08-31 00:00:00+00:00,6.9614463
2023-09-30 00:00:00+00:00,6.231062
2023-10-31 00:00:00+00:00,5.4172153
2023-11-30 00:00:00+00:00,6.5873623
2023-12-31 00:00:00+00:00,13.962986
2024-01-31 00:00:00+00:00,20.449646
2024-02-29 00:00:00+00:00,18.816465
2024-03-31 00:00:00+00:00,12.152607
2024-04-30 00:00:00+00:00,7.1610146
2024-05-31 00:00:00+00:00,6.016888
2024-06-30 00:00:00+00:00,5.428158
2024-07-31 00:00:00+00:00,7.22261
2024-08-31 00:00:00+00:00,7.135924
2024-09-30 00:00:00+00:00,6.3559484
2024-10-31 00:00:00+00:00,5.674093
2024-11-30 00:00:00+00:00,5.901966
2024-12-31 00:00:00+00:00,6.012743
2025-01-31 00:00:00+00:00,5.7688813
2025-02-28 00:00:00+00:00,18.532932
2025-03-31 00:00:00+00:00,10.630908
2025-04-30 00:00:00+00:00,7.867095
2025-05-31 00:00:00+00:00,5.520574
2025-06-30 00:00:00+00:00,5.3092375
2025-07-31 00:00:00+00:00,5.483528
2025-08-31 00:00:00+00:00,6.9332747
2025-09-30 00:00:00+00:00,10.718583
2025-10-31 00:00:00+00:00,9.421735
2025-11-30 00:00:00+00:00,7.8313017
2025-12-31 00:00:00+00:00,6.5246778
2026-01-31 00:00:00+00:00,7.1088595
2026-02-28 00:00:00+00:00,7.166901
2026-03-31 00:00:00+00:00,7.0617065
2026-04-30 00:00:00+00:00,11.67343
2026-05-31 00:00:00+00:00,5.525163
2026-06-30 00:00:00+00:00,5.3818903
