time,runoff_month_CanESM2_rcp85
2019-07-31 00:00:00+00:00,0.010691322
2019-08-31 00:00:00+00:00,0.00028673254
2019-09-30 00:00:00+00:00,0.0003543476
2019-10-31 00:00:00+00:00,0.00070547254
2019-11-30 00:00:00+00:00,0.0030964527
2019-12-31 00:00:00+00:00,0.0056947814
2020-01-31 00:00:00+00:00,0.04000252
2020-02-29 00:00:00+00:00,0.05457719
2020-03-31 00:00:00+00:00,0.014806466
2020-04-30 00:00:00+00:00,0.004126797
2020-05-31 00:00:00+00:00,0.0027973508
2020-06-30 00:00:00+00:00,6.3747444e-05
2020-07-31 00:00:00+00:00,0.00436423
2020-08-31 00:00:00+00:00,0.0041576633
2020-09-30 00:00:00+00:00,0.0011251237
2020-10-31 00:00:00+00:00,0.0004662395
2020-11-30 00:00:00+00:00,0.007568014
2020-12-31 00:00:00+00:00,0.14456734
2021-01-31 00:00:00+00:00,0.0067494414
2021-02-28 00:00:00+00:00,0.070117995
2021-03-31 00:00:00+00:00,0.017585877
2021-04-30 00:00:00+00:00,0.0073236744
2021-05-31 00:00:00+00:00,0.001660389
2021-06-30 00:00:00+00:00,0.00049282535
2021-07-31 00:00:00+00:00,0.00041266717
2021-08-31 00:00:00+00:00,0.026637916
2021-09-30 00:00:00+00:00,0.00019461209
2021-10-31 00:00:00+00:00,0.0011974467
2021-11-30 00:00:00+00:00,0.010376945
2021-12-31 00:00:00+00:00,0.00088709826
2022-01-31 00:00:00+00:00,0.020257536
2022-02-28 00:00:00+00:00,0.020204252
2022-03-31 00:00:00+00:00,0.028282909
2022-04-30 00:00:00+00:00,0.041910503
2022-05-31 00:00:00+00:00,0.011039929
2022-06-30 00:00:00+00:00,0.0016740315
2022-07-31 00:00:00+00:00,0.0052786926
2022-08-31 00:00:00+00:00,0.03937668
2022-09-30 00:00:00+00:00,0.0074123167
2022-10-31 00:00:00+00:00,0.00066836807
2022-11-30 00:00:00+00:00,0.00033887787
2022-12-31 00:00:00+00:00,0.06849801
2023-01-31 00:00:00+00:00,0.010751029
2023-02-28 00:00:00+00:00,0.08175078
2023-03-31 00:00:00+00:00,0.01602016
2023-04-30 00:00:00+00:00,0.0057108076
2023-05-31 00:00:00+00:00,0.0021434228
2023-06-30 00:00:00+00:00,0.0004940175
2023-07-31 00:00:00+00:00,0.011837842
2023-08-31 00:00:00+00:00,0.0036830048
2023-09-30 00:00:00+00:00,0.0018404992
2023-10-31 00:00:00+00:00,0.0020823898
2023-11-30 00:00:00+00:00,0.003952017
2023-12-31 00:00:00+00:00,0.008325826
2024-01-31 00:00:00+00:00,0.0052650967
2024-02-29 00:00:00+00:00,0.05289903
2024-03-31 00:00:00+00:00,0.0043055057
2024-04-30 00:00:00+00:00,9.056617e-05
2024-05-31 00:00:00+00:00,0.00025438593
2024-06-30 00:00:00+00:00,0.00062538486
2024-07-31 00:00:00+00:00,0.00072615466
2024-08-31 00:00:00+00:00,0.0036097013
2024-09-30 00:00:00+00:00,8.415344e-05
2024-10-31 00:00:00+00:00,0.0047170687
2024-11-30 00:00:00+00:00,0.0009255899
2024-12-31 00:00:00+00:00,0.0067342576
2025-01-31 00:00:00+00:00,0.2930583
2025-02-28 00:00:00+00:00,0.05269489
2025-03-31 00:00:00+00:00,0.3297822
2025-04-30 00:00:00+00:00,0.047948733
2025-05-31 00:00:00+00:00,0.032563116
2025-06-30 00:00:00+00:00,0.007929912
2025-07-31 00:00:00+00:00,0.0018098523
2025-08-31 00:00:00+00:00,0.0074033667
2025-09-30 00:00:00+00:00,0.0016703375
2025-10-31 00:00:00+00:00,0.0011510688
2025-11-30 00:00:00+00:00,0.0015323553
2025-12-31 00:00:00+00:00,0.0065190867
2026-01-31 00:00:00+00:00,0.15443808
2026-02-28 00:00:00+00:00,0.041597214
2026-03-31 00:00:00+00:00,0.007952719
2026-04-30 00:00:00+00:00,0.012012147
2026-05-31 00:00:00+00:00,0.0037058035
2026-06-30 00:00:00+00:00,0.00073137914
2026-07-31 00:00:00+00:00,0.0019317406
2026-08-31 00:00:00+00:00,0.007933202
2026-09-30 00:00:00+00:00,0.012443454
2026-10-31 00:00:00+00:00,0.014726706
2026-11-30 00:00:00+00:00,0.098381534
2026-12-31 00:00:00+00:00,0.028146872
2027-01-31 00:00:00+00:00,0.020001912
2027-02-28 00:00:00+00:00,0.60350597
2027-03-31 00:00:00+00:00,0.15293773
2027-04-30 00:00:00+00:00,0.42657632
2027-05-31 00:00:00+00:00,0.048678637
2027-06-30 00:00:00+00:00,0.043883294
2027-07-31 00:00:00+00:00,0.014445638
2027-08-31 00:00:00+00:00,0.007334863
2027-09-30 00:00:00+00:00,0.0005595944
2027-10-31 00:00:00+00:00,0.00044761915
2027-11-30 00:00:00+00:00,0.008473137
2027-12-31 00:00:00+00:00,0.011694765
2028-01-31 00:00:00+00:00,0.008146884
2028-02-29 00:00:00+00:00,0.025907231
2028-03-31 00:00:00+00:00,0.013790183
2028-04-30 00:00:00+00:00,0.001289189
2028-05-31 00:00:00+00:00,0.0010207725
2028-06-30 00:00:00+00:00,0.00013521043
2028-07-31 00:00:00+00:00,0.0012450207
2028-08-31 00:00:00+00:00,0.00047258657
2028-09-30 00:00:00+00:00,5.512619e-05
2028-10-31 00:00:00+00:00,0.0009443524
2028-11-30 00:00:00+00:00,0.0010991076
2028-12-31 00:00:00+00:00,0.005751569
2029-01-31 00:00:00+00:00,0.003936897
2029-02-28 00:00:00+00:00,0.0015107711
2029-03-31 00:00:00+00:00,0.0063901865
2029-04-30 00:00:00+00:00,0.00024214413
2029-05-31 00:00:00+00:00,0.0006217691
2029-06-30 00:00:00+00:00,0.00013298441
2029-07-31 00:00:00+00:00,1.4718442e-05
2029-08-31 00:00:00+00:00,0.008765291
2029-09-30 00:00:00+00:00,0.0002056226
2029-10-31 00:00:00+00:00,0.00229112
2029-11-30 00:00:00+00:00,0.0011612743
2029-12-31 00:00:00+00:00,0.0077735716
2030-01-31 00:00:00+00:00,0.14447935
2030-02-28 00:00:00+00:00,0.2596558
2030-03-31 00:00:00+00:00,0.05142206
2030-04-30 00:00:00+00:00,0.03121868
2030-05-31 00:00:00+00:00,0.0037475384
