boundary,counties
feature,"San Bernardino County, California"
feature id,36
center,"-115.967, 34.8403"
scenario,High (RCP 8.5)
climate indicator,Minimum Temperature
units,°F

year,Modeled RCP 8.5 Range Min,Modeled RCP 8.5 Range Max,Observed,CanESM2 (Average),CNRM-CM5 (Cool/Wet),HadGEM2-ES (Warm/Dry),MIROC5 (Complement)
2026,51.8716850281,57.5481033325,,57.5479888916,53.5872573853,53.7619934082,54.5037918091
2027,51.4690933228,56.6273345947,,53.4493789673,54.2180900574,54.2137527466,53.78099823
2028,50.9397125244,56.3173599243,,53.4107055664,53.5323791504,54.1817245483,54.9556045532
2029,51.4773864746,55.6157150269,,55.0906219482,53.4071350098,53.9960021973,53.9412918091
2030,52.1588134766,57.3518295288,,57.3483123779,53.0257987976,53.9042129517,54.3260879517
2031,51.5937309265,56.7169303894,,56.5904769897,55.380443573,53.517162323,55.0518951416
2032,51.0260124207,56.3405914307,,54.1333847046,54.2436332703,55.4540519714,54.4751701355
2033,50.7673950195,56.4867668152,,53.4039459229,55.1824150085,54.188369751,54.6025009155
2034,52.0286254883,58.3509292603,,55.2200431824,54.5253753662,56.4542999268,54.4255142212
2035,51.7624282837,56.5748748779,,55.2274589539,54.8380508423,55.8450012207,54.6176605225
2036,50.8943405151,57.1190299988,,57.1189727783,54.4476470947,53.6932182312,55.2040023804
2037,51.9675979614,57.2521286011,,56.2008476257,54.7392272949,55.1657714844,54.2901077271
2038,51.7882995605,58.1148300171,,55.9982070923,53.7504577637,56.1614074707,55.6383476257
2039,51.2530975342,56.6833114624,,56.1544876099,54.4558334351,55.5713310242,55.8201713562
2040,51.5169906616,58.0560531616,,56.7489547729,53.6503715515,54.6195297241,55.6580123901
2041,51.9884719849,56.9843902588,,56.9536857605,54.2842254639,54.4657211304,55.3272171021
2042,52.7630615234,57.8706588745,,55.8910903931,55.1517105103,53.6181793213,55.0470657349
2043,51.9861068726,57.5417289734,,55.6603775024,55.7754592896,55.2832717896,55.2733840942
2044,52.1346969604,57.5644683838,,57.053276062,53.896522522,55.5450210571,55.7121200562
2045,52.8146972656,58.5612602234,,55.561882019,54.7864151001,55.9121246338,54.6429290771
2046,52.2224235535,58.3715820312,,57.6825180054,55.4464187622,55.6765823364,56.4842948914
2047,52.5914535522,58.526927948,,58.5267105103,56.0682449341,56.6377716064,55.5542449951
2048,53.305015564,58.3410415649,,57.7709579468,54.7847671509,57.3689689636,54.2862052917
2049,52.7018127441,58.8438835144,,57.2153778076,56.446723938,56.9345169067,55.0663452148
2050,52.414024353,57.5405197144,,56.8237724304,55.4136199951,56.4462280273,55.7607345581
2051,53.9907836914,58.3747673035,,58.1120834351,56.227104187,56.7720794678,55.5222244263
2052,53.3342971802,59.329864502,,57.9085617065,55.8172607422,57.1374320984,54.4208984375
2053,52.7989883423,58.8911247253,,57.5372238159,54.6435928345,57.5415649414,58.2824821472
2054,52.9301605225,58.9054641724,,58.7274284363,55.6325798035,56.6343154907,56.4341430664
2055,53.8120880127,58.7253417969,,56.5928421021,56.1043319702,57.6939468384,56.351524353
2056,53.7832489014,59.5971603394,,57.8056182861,57.3744621277,59.4939422607,54.5979995728
2057,53.6647109985,60.3685112,,60.3685112,56.293132782,58.07006073,57.0341033936
2058,53.6069755554,59.9766845703,,57.6296195984,57.8799972534,59.9766311646,55.4074707031
2059,53.2482147217,60.1107711792,,59.26537323,57.8273735046,58.2149162292,56.4312286377
2060,53.607635498,59.451210022,,58.7510490417,58.3515853882,58.7960929871,56.0581893921
2061,53.9302482605,60.4568939209,,60.3839492798,56.0080947876,56.7554397583,56.0142974854
2062,54.0103378296,60.178062439,,59.2470817566,55.9418449402,60.145324707,57.0778884888
2063,54.0072631836,59.9639396667,,58.1922302246,57.8519287109,57.876373291,55.5417251587
2064,53.6048355103,60.3643913269,,58.5106658936,57.8661003113,60.0039291382,56.7581291199
2065,54.2239685059,60.6058731079,,57.4729003906,57.2372970581,58.8527297974,56.4975891113
2066,54.9392318726,60.2735900879,,59.4248962402,57.9600906372,60.1529045105,56.7674674988
2067,53.6104354858,62.092376709,,62.092048645,57.2444381714,59.5655212402,55.9085006714
2068,53.9817733765,60.1041793823,,58.1102714539,58.576423645,59.6100692749,56.6538162231
2069,54.4791259766,61.2201690674,,58.9104614258,58.0996170044,61.2201690674,57.3966522217
2070,53.9735870361,61.2250061035,,60.6133956909,57.2572937012,60.9933013916,57.9580001831
2071,54.5947570801,60.8872299194,,59.9485588074,59.1538619995,59.3435440063,56.8530502319
2072,55.1518707275,62.0260734558,,58.8430595398,57.5571670532,61.9428520203,59.0641021729
2073,54.7648773193,61.5533294678,,60.8143920898,58.6116867065,60.7313919067,57.2948112488
2074,54.8260192871,61.5306472778,,58.1638298035,58.8613510132,59.5729904175,57.8183097839
