,date,airtemp,baseflow,ev,rainfall,runoff,sm,snowfall,snowwater
89,2032-06,24.699986,0.048453737,0.14020546,0.03594521,0.004779134,5.4530845,0.00013943847,0.4680712
90,2032-07,33.24711,0.039374065,0.19430734,0.21217647,0.008572453,6.2294683,0.0,0.14138174
91,2032-08,31.735466,0.034831334,0.11185522,0.103391595,0.0021601266,5.843433,0.0,0.009916875
92,2032-09,26.043156,0.03301723,0.041503925,0.01461306,0.00014581581,5.48363,2.10133e-05,0.0
93,2032-10,21.831785,0.032427106,0.0962131,0.10926563,0.001223559,5.639199,0.0026878794,0.00043076594
94,2032-11,12.476199,0.031968497,0.10778504,0.13690375,0.002071613,6.191553,0.016353766,0.026621455
95,2032-12,10.424089,0.031574015,0.041097805,0.0033853462,8.4974585e-05,6.160979,0.0011379458,0.0031257987
96,2033-01,10.997413,0.070049934,0.64044017,2.1550999,0.19124179,12.810355,0.091308095,0.93279546
97,2033-02,11.711587,0.2915951,1.11916,1.9995099,0.12991321,18.09864,0.13195355,2.8503692
98,2033-03,16.12454,0.16015783,1.1785176,1.0251116,0.076672874,11.447617,0.025299838,1.4822907
99,2033-04,16.589142,0.16636652,0.85980713,0.15498462,0.00977106,9.884418,0.01107018,0.7876021
100,2033-05,22.177904,0.052039888,0.39058772,0.023308052,0.003905574,5.8858395,0.00024310956,0.2920487
101,2033-06,28.287733,0.03755971,0.20745073,0.007525697,0.0021198278,5.354228,4.1503145e-06,0.044275198
102,2033-07,30.900593,0.032298587,0.085376106,0.06766394,0.00091246003,5.594139,5.1774522e-09,0.0
103,2033-08,29.530598,0.031076087,0.03772595,0.037251037,0.00046729628,5.475216,5.55762e-07,0.0
104,2033-09,25.96723,0.030545702,0.00444226,0.0005921681,2.4473748e-06,5.3227324,0.0,0.0
105,2033-10,21.244154,0.03020301,0.009386372,0.009667148,0.00014068223,5.3448634,4.5075512e-07,0.0
106,2033-11,15.874284,0.029934326,0.017337365,0.02445721,0.000303836,5.397639,0.0002252136,2.3872852e-07
107,2033-12,10.868458,0.029675717,0.05769774,0.050517004,0.0007112591,5.6432347,0.017306384,0.011208087
108,2034-01,13.645067,0.029417338,0.023267372,0.013194934,0.0001619078,5.535783,0.0010901195,3.5375528e-05
109,2034-02,12.155145,0.030927658,0.44701546,0.88383514,0.032185227,10.68321,0.044034626,0.30488786
110,2034-03,17.918583,0.031489883,0.32539576,0.005562237,0.0005524555,7.162893,0.0005404527,0.01741301
111,2034-04,17.954031,0.035005406,0.5251616,0.61392754,0.025057888,8.124523,0.04089399,0.1983519
112,2034-05,26.120512,0.031702213,0.16405174,0.032459434,0.0005112408,5.5342727,0.0005478889,0.00014719038
113,2034-06,25.65328,0.029483853,0.040962778,0.027106948,0.00044277313,5.426397,6.592733e-05,0.0
114,2034-07,32.060684,0.028645327,0.04212884,0.051432513,0.0006382714,5.444139,1.5314106e-07,0.0
115,2034-08,33.663345,0.0283288,0.51493526,0.7495909,0.019797236,8.801847,1.2965795e-07,0.0
116,2034-09,25.728432,0.028252533,0.18763368,0.026471466,0.00026895513,6.243721,0.0,0.0
117,2034-10,24.270327,0.02801096,0.01554129,0.011855247,0.00011257269,5.3498516,0.00010057093,0.0
118,2034-11,12.402602,0.027789878,0.16969223,0.23908277,0.004624029,7.9783463,0.012984445,0.001053178
119,2034-12,10.678448,0.027732646,0.22230232,0.2640646,0.005358007,8.286759,0.021637056,0.06257772
120,2035-01,9.473474,0.048866764,0.83408374,2.8368893,0.13492021,18.213383,0.13372694,1.3969519
121,2035-02,9.606107,0.1458325,1.019332,2.6767287,0.30376178,18.14849,0.39089888,4.0086594
122,2035-03,12.995078,0.2657851,1.3230264,0.5924181,0.079910554,14.093655,0.062028408,5.9892054
123,2035-04,18.560108,0.17058091,1.147053,0.12560359,0.037673756,8.747438,0.010315701,2.6472285
124,2035-05,24.796919,0.06956561,0.36953175,0.002597376,0.016961176,5.5169935,2.8791099e-05,0.46016398
125,2035-06,30.166218,0.042337608,0.13922396,0.004135588,0.0026660233,5.3237686,3.7660506e-08,0.047835242
126,2035-07,32.743183,0.03621019,0.60538244,0.8206336,0.015675457,8.150935,3.043794e-07,0.0
127,2035-08,34.62894,0.034950048,0.71011686,0.6579825,0.012735039,10.349342,0.0,0.0
128,2035-09,25.914309,0.034016896,0.15451819,0.029144766,0.00030789262,6.257995,1.3543398e-05,0.0
129,2035-10,21.323801,0.033354368,0.04301767,0.035778657,0.00031496983,5.4653516,0.0018929191,0.00035393535
130,2035-11,12.926336,0.032926545,0.18026805,0.23074055,0.004036577,7.1204123,0.010864045,0.034192942
131,2035-12,10.550132,0.03250824,0.09659467,0.06421954,0.00092623825,6.7410727,0.006042843,0.0024586534
132,2036-01,13.6932535,0.03209256,0.035098758,0.033515356,0.0005368961,5.8548846,0.0015774171,0.000101268015
133,2036-02,11.583901,0.03181205,0.3932559,1.4175502,0.07044879,8.888518,0.061387874,0.1759188
134,2036-03,14.47328,0.039718017,0.856043,0.23891993,0.011250714,12.611859,0.023462195,0.38416597
135,2036-04,22.961897,0.03488615,0.29471993,0.030944534,0.00086823234,6.020067,0.00039918418,0.0071100737
136,2036-05,25.941582,0.0321872,0.061193105,0.013630247,0.00019506813,5.3753386,2.0208518e-06,0.0
137,2036-06,28.868195,0.031266626,0.026683755,0.020145655,0.00020711747,5.349379,0.0,0.0
138,2036-07,34.16182,0.030745307,0.28758863,0.3949949,0.005480541,6.5958757,0.0,0.0
139,2036-08,32.438774,0.030367794,0.56854665,0.5307018,0.008211642,8.811036,5.670103e-07,0.0
140,2036-09,29.781425,0.030077763,0.57073826,0.59312856,0.009976659,8.383805,0.0,0.0
141,2036-10,23.120447,0.0298974,0.22033213,0.2758404,0.0073675145,7.016115,0.0006523715,0.00034638442
142,2036-11,13.155726,0.029797213,0.084948584,0.024470657,0.00035151004,6.439449,0.0018091912,1.4872547e-06
143,2036-12,9.709876,0.029483274,0.060621683,0.07547517,0.0013689663,6.149752,0.0051462986,0.00056234235
144,2037-01,12.373521,0.029213667,0.30670688,0.36220783,0.005758699,8.7380295,0.00595698,0.0029227904
145,2037-02,13.268879,0.037948776,0.8331285,1.8480988,0.12543297,14.252267,0.08096843,0.87115407
146,2037-03,14.20986,0.054538846,0.8908371,0.6909976,0.032616805,12.13887,0.03088115,0.8899414
147,2037-04,15.794527,0.070059404,0.5497759,0.29868358,0.015091199,8.328487,0.025240729,0.4280359
148,2037-05,23.982948,0.042388715,0.24729483,0.012344085,0.0026428455,5.631877,0.000117787735,0.1212285
149,2037-06,29.461203,0.031183803,0.19462876,0.08762633,0.001298945,5.586963,7.97612e-06,0.002495955
150,2037-07,34.524998,0.028974025,0.26898873,0.29476556,0.0038257947,6.6107154,0.0,0.0
151,2037-08,32.031425,0.028437821,0.30938014,0.3552095,0.0057714246,7.116909,7.2533716e-08,0.0
152,2037-09,27.957947,0.02808765,0.314719,0.3110151,0.004432307,7.1997967,2.7773118e-05,0.0
153,2037-10,22.231367,0.027819144,0.27754855,0.3643401,0.0062704016,6.8622446,0.012559914,0.02008771
154,2037-11,14.032085,0.02866915,0.26015493,0.23106612,0.007898819,8.484606,0.0049868855,0.07625315
155,2037-12,12.364666,0.028202374,0.08768968,0.035635564,0.0005272132,6.4366198,0.0051058414,0.022644868
156,2038-01,10.95906,0.07831524,0.75075525,2.4617836,0.26708195,13.304245,0.10567743,0.5835639
157,2038-02,10.966811,0.16544348,0.850737,1.116955,0.056492016,16.251574,0.069820404,1.6223433
158,2038-03,14.487805,0.25523812,1.038731,0.74018663,0.06725964,14.011781,0.036326893,1.8008631
159,2038-04,20.741886,0.05948133,0.6364649,0.06032271,0.0133069195,6.068821,0.003455345,0.38229424
160,2038-05,25.210663,0.035195213,0.29731575,0.020096181,0.0017777483,5.5258207,5.8176305e-05,0.086343065
161,2038-06,28.109663,0.029613594,0.086844295,0.01829065,0.0007232016,5.367089,2.6565509e-05,0.012138461
162,2038-07,33.903713,0.02770476,0.096549146,0.111366,0.0012554954,5.6763115,0.0,0.0
163,2038-08,33.123478,0.027256854,0.45020935,0.6598709,0.011425448,7.7155027,3.0925204e-08,0.0
164,2038-09,27.484137,0.026971748,0.26532656,0.069901556,0.00074983755,7.2315836,4.2325566e-05,0.0
165,2038-10,20.43588,0.026746886,0.20612167,0.20133205,0.002817987,6.5265727,0.00015665237,0.0
166,2038-11,13.431784,0.026618758,0.2606683,0.39832234,0.009020527,8.467586,0.03846253,0.19122435
167,2038-12,11.418357,0.026550747,0.12463508,0.08221644,0.0020111867,7.8858833,0.006100981,0.052351862
168,2039-01,10.342007,0.040774677,0.75382334,1.9905306,0.15849282,15.702188,0.13120133,1.423903
169,2039-02,12.48841,0.050431337,0.6400569,0.13714533,0.010842692,11.896089,0.01638517,0.94452167
170,2039-03,13.931878,0.049600102,0.45238978,0.19811308,0.008407436,7.6477246,0.011466715,0.38845778
171,2039-04,21.060066,0.04403214,0.42333263,0.20699647,0.008664418,6.6153007,0.008402303,0.18796039
172,2039-05,23.89328,0.030522732,0.15591724,0.013251305,0.00050593854,5.375976,4.4748915e-05,0.03350735
173,2039-06,29.090052,0.02729973,0.074790135,0.019531585,0.00032685918,5.3730755,8.172243e-06,0.0009250845
174,2039-07,33.692596,0.026165847,0.1982406,0.23114254,0.0028570078,6.0818934,0.0,0.0
175,2039-08,33.282833,0.025899917,0.24523218,0.37791443,0.010205417,6.668166,0.0,0.0
176,2039-09,26.07846,0.02605152,0.14784892,0.016281905,0.00017736986,5.9661827,6.8981894e-06,0.0
177,2039-10,22.430782,0.02565458,0.07874346,0.06392814,0.0006268572,5.5855017,5.247659e-05,0.0
178,2039-11,15.836509,0.025326716,0.08254567,0.10381196,0.0013679359,5.9281793,0.0026410045,0.0008286483
179,2039-12,13.929836,0.025054708,0.02579339,0.0018442167,1.7124983e-05,5.671154,4.5976318e-05,0.0
180,2040-01,10.401025,0.028280457,0.55573857,1.0037811,0.03178309,11.957378,0.09065516,0.36475515
181,2040-02,13.366564,0.031457055,0.6928455,1.3201519,0.080827475,11.099375,0.049863484,0.30768573
182,2040-03,14.079772,0.097701214,0.7305665,0.32997587,0.023497323,12.165467,0.033971224,0.70678484
183,2040-04,20.083143,0.045956347,0.4634402,0.20084186,0.008480009,6.8932233,0.011555479,0.17095706
184,2040-05,25.49722,0.02920612,0.21192493,0.030160237,0.0009939814,5.4526353,0.00022843033,0.01998108
185,2040-06,27.990799,0.025204852,0.10830091,0.044329915,0.0006239003,5.433744,9.940738e-05,0.0
186,2040-07,35.378155,0.024253413,0.35652426,0.46075365,0.006640149,7.124593,0.0,0.0
187,2040-08,34.380512,0.02389839,0.62082195,0.6001477,0.0100714555,9.348214,1.3165038e-06,0.0
188,2040-09,29.01243,0.023652809,0.10530357,0.031347107,0.00044009383,5.9269266,1.2132147e-05,0.0
189,2040-10,22.452677,0.023453103,0.033658057,0.024300208,0.00027153155,5.4474645,0.00020644562,0.0
190,2040-11,13.621177,0.023260415,0.13929354,0.2180342,0.0036363946,6.3493805,0.01084951,0.008613748
191,2040-12,11.133211,0.032809407,0.63233465,1.3326229,0.064583756,15.694886,0.02606495,0.42084005
192,2041-01,10.260823,0.030458227,0.39296374,0.2726559,0.010267782,11.956018,0.015882222,0.39574128
193,2041-02,13.190205,0.11998119,0.90752685,2.6454904,0.34468812,14.62282,0.15460815,1.5534574
