,date,airtemp,baseflow,ev,rainfall,runoff,sm,snowfall,snowwater,D0,D1,D2,D3,D4
236,1969-09-01,26.46009413333333,0.0206896191,0.5486207876666666,0.5698376392383333,0.009648534014422333,8.526974386666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0
237,1969-10-01,17.11465783870968,0.02047746129032258,0.09015627612903226,0.04691278336322581,0.00043676659877741936,5.853391016129032,0.0004633594190096774,6.051057419354839e-08,0.0,0.0,0.0,0.0,0.0
238,1969-11-01,13.041427183333333,0.020703196466666667,0.2912806513666667,0.4196845529503,0.008538357237323333,8.167063713333333,0.0181389933105,0.10979683898666666,5.1,0.2,0.0,0.0,0.0
239,1969-12-01,9.539610441935485,0.020513104903225804,0.08268611851612903,0.016340108498709677,0.000401780137483871,6.976613103225807,0.0024202902082258062,0.056649830290322584,22.8,5.2,0.0,0.0,0.0
240,1970-01-01,8.542764793548386,0.020407060032258065,0.1647037659032258,0.22047754224161292,0.005542251363054839,7.1720371322580645,0.013107463849709677,0.09961923612903226,60.6,32.3,0.3,0.0,0.0
241,1970-02-01,11.792541089285715,0.02150049132142857,0.5001659663928572,0.8581226497500001,0.02527056867964286,8.898136257142857,0.018076600696071428,0.09902264842857143,72.4,51.4,8.2,0.3,0.0
242,1970-03-01,12.580692306451613,0.04687791516129033,0.73132018,0.7545103071532258,0.06200892200741936,11.852610587096773,0.09056833049625806,1.3292608387096774,72.5,28.2,1.6,0.0,0.0
243,1970-04-01,13.911254866666667,0.03125341026666666,0.2762405236666667,0.09221620112226667,0.0032179032108666664,6.150415006666666,0.021643632736333334,0.22990903399999998,77.4,56.9,5.2,0.6,0.0
244,1970-05-01,21.8896334516129,0.025847057322580646,0.17548358458064517,0.0010001120612903227,0.0007961021422580645,5.578675929032259,3.3310099806451614e-06,0.09611438103225807,77.9,51.3,7.1,0.2,0.0
245,1970-06-01,26.21685443333333,0.021624503433333334,0.10673560450000001,0.034352275972999995,0.00046658397066666663,5.373768823333333,8.182216656666667e-05,0.007021969126666667,95.2,75.5,15.7,2.8,0.0
246,1970-07-01,30.441998,0.019690146967741937,0.24093914167741934,0.26033424616096773,0.003016077191710968,5.907270435483871,0.0,0.0,73.2,50.3,3.6,0.0,0.0
247,1970-08-01,29.937037322580647,0.019356573870967744,0.5930922158064516,0.6909187634032258,0.012305667462406451,8.544855464516129,0.0,0.0,65.1,44.1,5.8,0.0,0.0
