time,baseflow_month_HadGEM2-ES_rcp45
2024-12-31 00:00:00+00:00,0.029209208
2025-01-31 00:00:00+00:00,0.055284183
2025-02-28 00:00:00+00:00,0.17993306
2025-03-31 00:00:00+00:00,0.25700438
2025-04-30 00:00:00+00:00,0.07699478
2025-05-31 00:00:00+00:00,0.038935766
2025-06-30 00:00:00+00:00,0.032140676
2025-07-31 00:00:00+00:00,0.028716123
2025-08-31 00:00:00+00:00,0.027842099
2025-09-30 00:00:00+00:00,0.027253525
2025-10-31 00:00:00+00:00,0.026804563
2025-11-30 00:00:00+00:00,0.026422096
2025-12-31 00:00:00+00:00,0.026092617
2026-01-31 00:00:00+00:00,0.030282957
2026-02-28 00:00:00+00:00,0.045764048
2026-03-31 00:00:00+00:00,0.039596897
2026-04-30 00:00:00+00:00,0.034083277
2026-05-31 00:00:00+00:00,0.028659213
2026-06-30 00:00:00+00:00,0.02697726
2026-07-31 00:00:00+00:00,0.02626976
2026-08-31 00:00:00+00:00,0.025749048
2026-09-30 00:00:00+00:00,0.025343185
2026-10-31 00:00:00+00:00,0.024987044
2026-11-30 00:00:00+00:00,0.024664406
2026-12-31 00:00:00+00:00,0.02436868
2027-01-31 00:00:00+00:00,0.024090031
2027-02-28 00:00:00+00:00,0.023841279
2027-03-31 00:00:00+00:00,0.023614427
2027-04-30 00:00:00+00:00,0.023425909
2027-05-31 00:00:00+00:00,0.023184162
2027-06-30 00:00:00+00:00,0.022959318
2027-07-31 00:00:00+00:00,0.022745246
2027-08-31 00:00:00+00:00,0.02253444
2027-09-30 00:00:00+00:00,0.022332948
2027-10-31 00:00:00+00:00,0.022137152
2027-11-30 00:00:00+00:00,0.022140285
2027-12-31 00:00:00+00:00,0.02336257
2028-01-31 00:00:00+00:00,0.048844345
2028-02-29 00:00:00+00:00,0.07125743
2028-03-31 00:00:00+00:00,0.12465958
2028-04-30 00:00:00+00:00,0.0734604
2028-05-31 00:00:00+00:00,0.041246396
2028-06-30 00:00:00+00:00,0.025575677
2028-07-31 00:00:00+00:00,0.021941354
2028-08-31 00:00:00+00:00,0.021366261
2028-09-30 00:00:00+00:00,0.021038286
2028-10-31 00:00:00+00:00,0.020804863
2028-11-30 00:00:00+00:00,0.020651527
2028-12-31 00:00:00+00:00,0.02299132
2029-01-31 00:00:00+00:00,0.02268284
2029-02-28 00:00:00+00:00,0.022397691
2029-03-31 00:00:00+00:00,0.05677591
2029-04-30 00:00:00+00:00,0.096756585
2029-05-31 00:00:00+00:00,0.04290688
2029-06-30 00:00:00+00:00,0.023286022
2029-07-31 00:00:00+00:00,0.020397292
2029-08-31 00:00:00+00:00,0.019794663
2029-09-30 00:00:00+00:00,0.019459303
2029-10-31 00:00:00+00:00,0.019228725
2029-11-30 00:00:00+00:00,0.01905888
2029-12-31 00:00:00+00:00,0.020593204
2030-01-31 00:00:00+00:00,0.046271034
2030-02-28 00:00:00+00:00,0.058044728
2030-03-31 00:00:00+00:00,0.070531584
2030-04-30 00:00:00+00:00,0.06139523
2030-05-31 00:00:00+00:00,0.033470847
2030-06-30 00:00:00+00:00,0.02114801
2030-07-31 00:00:00+00:00,0.018991573
2030-08-31 00:00:00+00:00,0.018609907
2030-09-30 00:00:00+00:00,0.01837456
2030-10-31 00:00:00+00:00,0.018201472
