boundary,counties
feature,"San Bernardino County, California"
feature id,36
center,"-115.967, 34.8403"
scenario,High (RCP 8.5)
climate indicator,Maximum Temperature
units,°F

year,Modeled RCP 8.5 Range Min,Modeled RCP 8.5 Range Max,Observed,CanESM2 (Average),CNRM-CM5 (Cool/Wet),HadGEM2-ES (Warm/Dry),MIROC5 (Complement)
1974,76.4378814697,81.2782897949,78.8964538574,78.2666625977,76.7898254395,78.8088378906,77.2169189453
1975,76.1216430664,80.0186004639,77.6683654785,79.5553131104,77.282623291,79.9721832275,77.499382019
1976,76.2110137939,81.0031433105,78.3739929199,78.9540252686,78.0116729736,77.3813934326,76.6398162842
1977,76.411026001,81.1519470215,79.0437850952,77.2235107422,78.0046386719,78.5420379639,80.1548919678
1978,76.337852478,80.7125549316,77.7281570435,79.5717926025,79.1658477783,78.4758453369,79.4440155029
1979,76.1432800293,81.5022506714,77.9491577148,79.6109542847,77.9751434326,77.7792053223,78.3843841553
1980,76.1382293701,81.7614746094,79.2560424805,80.8816833496,80.0554656982,78.3404388428,78.1527938843
1981,77.0642700195,81.8873748779,80.7173919678,79.9628448486,78.3930664062,77.8184204102,77.2190093994
1982,76.3859710693,81.0935058594,76.4241485596,76.8822784424,79.2832336426,78.5256652832,78.8886032104
1983,74.8025131226,81.0825195312,77.0068359375,79.0050582886,77.9160919189,78.3252258301,77.1345825195
1984,75.7210235596,82.2452011108,78.5501098633,78.5764770508,79.7725067139,78.1314849854,79.9405441284
1985,77.1329345703,80.8048400879,78.6523208618,77.3115692139,77.8340759277,78.1735534668,77.2326889038
1986,76.6635971069,81.6848983765,79.5800857544,79.1663970947,79.5403137207,81.5989303589,77.340133667
1987,77.0684967041,81.6998901367,78.2723617554,78.2394714355,79.1323394775,77.8695678711,77.215385437
1988,76.0771484375,80.8596038818,79.764175415,78.4358062744,79.8277740479,78.325668335,80.1061630249
1989,76.6942443848,81.2034225464,80.8667221069,77.8947296143,79.339263916,78.3799362183,79.5271835327
1990,76.9508361816,81.325920105,79.1984176636,78.7768707275,80.5981292725,78.1719055176,79.1571655273
1991,77.3851776123,81.6870956421,78.3363800049,79.4862060547,79.6852722168,80.1385192871,79.3460235596
1992,76.22996521,80.6905212402,78.5435333252,76.231338501,80.0816040039,78.9595184326,78.6183395386
1993,74.8946380615,81.3250961304,78.4862442017,79.1848449707,77.3659515381,78.1842193604,74.8946380615
1994,77.3123397827,81.4147949219,79.5435943604,77.5522766113,79.449180603,78.6156463623,80.3709335327
1995,76.6850204468,80.7695159912,80.1165618896,79.1611175537,78.8073043823,79.6672058105,79.5993652344
1996,77.1017913818,81.6837997437,81.1937484741,80.8947601318,80.5133666992,77.5665130615,79.2834014893
1997,77.0810241699,81.6211242676,79.8383178711,77.7511291504,78.4120178223,80.0134429932,79.5118026733
1998,77.0250473022,82.6716308594,76.6858901978,79.731918335,80.244644165,79.5738220215,78.8217010498
1999,75.9545440674,81.5877227783,79.4395751953,80.4404220581,79.4604949951,79.8338165283,78.7927474976
2000,77.000328064,82.0708465576,79.9988708496,80.57862854,80.5084228516,78.1068115234,80.7018432617
