0,DATE,D0,D1,D2,D3,D4,-9,W0,W1,W2,W3,W4
60.9,d_19170901,0,0,0,0,0,0,39.1,8.8,0,0,0
80.1,d_19171001,18.5,4.7,0,0,0,0,1.4,0,0,0,0
73.5,d_19171101,19.7,10.1,1,0,0,0,6.8,0,0,0,0
76.6,d_19171201,23.1,14.5,2.7,0.3,0,0,0.3,0,0,0,0
45.6,d_19180101,54.4,29.3,15.8,7.2,0,0,0,0,0,0,0
44.9,d_19180201,55.1,26.9,3.1,0,0,0,0,0,0,0,0
97.9,d_19180301,0,0,0,0,0,0,2.1,0,0,0,0
92.9,d_19180401,6.2,0,0,0,0,0,0.8,0,0,0,0
78.7,d_19180501,21.3,2.6,0,0,0,0,0,0,0,0,0
94.3,d_19180601,5.5,0,0,0,0,0,0.1,0,0,0,0
60.2,d_19180701,0,0,0,0,0,0,39.8,9.9,0,0,0
50.2,d_19180801,0,0,0,0,0,0,49.8,5.6,0,0,0
9.7,d_19180901,0,0,0,0,0,0,90.3,64.3,19.8,4.2,0
2.1,d_19181001,0,0,0,0,0,0,97.8,88.7,64.5,44.2,8.5
1.8,d_19181101,0,0,0,0,0,0,98.2,89.9,80.3,64.4,32.6
14.1,d_19181201,0.1,0,0,0,0,0,85.8,64.1,39.1,15.5,4.5
32,d_19190101,2,0,0,0,0,0,66,48.4,18,7,0.6
46.7,d_19190201,2.3,0.5,0,0,0,0,50.9,29.9,5.4,0.8,0
43.6,d_19190301,2.8,0,0,0,0,0,53.5,28.1,5.1,0.2,0
68.3,d_19190401,5.5,1,0,0,0,0,26.2,8.1,0,0,0
56,d_19190501,10.9,2.3,0,0,0,0,33.1,12.1,0,0,0
84.9,d_19190601,11.2,2.3,0,0,0,0,4,0,0,0,0
67.1,d_19190701,10.3,2.9,0,0,0,0,22.6,7.6,0,0,0
60.7,d_19190801,16.4,6.2,0,0,0,0,22.9,8,0,0,0
72.7,d_19190901,1.4,0,0,0,0,0,25.9,5.6,0,0,0
53.1,d_19191001,0,0,0,0,0,0,46.9,22.7,0,0,0
36.6,d_19191101,0,0,0,0,0,0,63.4,41.7,21.5,7.9,0
34.9,d_19191201,23.3,17.6,4.1,0.7,0,0,41.7,30.3,12.3,0,0
32.6,d_19200101,28.2,18.8,5.6,0,0,0,39.1,32.4,22.8,8.6,0
43.9,d_19200201,8,0,0,0,0,0,48.1,41.9,30.9,24.4,7.1
42.2,d_19200301,0,0,0,0,0,0,57.8,44.1,30.2,22.1,0.2
49.4,d_19200401,2.4,0,0,0,0,0,48.2,33.7,18.7,10.6,0
45.3,d_19200501,0,0,0,0,0,0,54.6,41.6,22.5,13.5,0
53.9,d_19200601,0.8,0,0,0,0,0,45.3,36.3,17.7,4.1,0
54,d_19200701,1,0,0,0,0,0,45.1,36.6,17.5,7.2,0
53.3,d_19200801,0,0,0,0,0,0,46.7,36.9,3.2,0,0
38.2,d_19200901,0,0,0,0,0,0,61.8,38.1,4.7,0,0
8.1,d_19201001,0,0,0,0,0,0,91.9,49,1.1,0,0
73.4,d_19201101,12.6,2.8,0,0,0,0,14,5.8,0.4,0,0
41.6,d_19201201,58.3,30.7,0.7,0,0,0,0.1,0,0,0,0
91.7,d_19210101,0.1,0,0,0,0,0,8.2,2.3,0,0,0
50.4,d_19210201,49.5,3.7,0,0,0,0,0,0,0,0,0
66.3,d_19210301,33.7,0,0,0,0,0,0,0,0,0,0
67.7,d_19210401,32.3,0.2,0,0,0,0,0,0,0,0,0
72.2,d_19210501,27.8,2.3,0,0,0,0,0,0,0,0,0
80.7,d_19210601,19.3,0,0,0,0,0,0,0,0,0,0
66.5,d_19210701,32.9,0.1,0,0,0,0,0.6,0,0,0,0
69.9,d_19210801,4.9,0,0,0,0,0,25.1,15.6,0.9,0,0
52.4,d_19210901,0,0,0,0,0,0,47.6,29.5,14.4,4.9,0
42.9,d_19211001,7.5,1,0,0,0,0,49.5,38.2,17.7,13.4,1.8
32.6,d_19211101,3.9,0,0,0,0,0,63.5,47.7,24.8,17.8,12
0,d_19211201,0,0,0,0,0,0,100,100,97.5,87.2,58.9
0,d_19220101,0,0,0,0,0,0,100,100,100,97.5,65.1
0,d_19220201,0,0,0,0,0,0,100.1,100.1,89,65.8,6.6
0,d_19220301,0,0,0,0,0,0,100.1,100.1,78.9,50,3.7
0,d_19220401,0,0,0,0,0,0,99.9,99.9,77.2,43.1,2.3
0,d_19220501,0,0,0,0,0,0,100,100,72.1,26.6,1.4
0,d_19220601,0,0,0,0,0,0,100,100,64.2,11.1,0
0,d_19220701,0,0,0,0,0,0,100,98.8,64,15.5,1.8
0,d_19220801,0,0,0,0,0,0,100,100,94.9,54,11.9
41.6,d_19220901,0,0,0,0,0,0,58.5,40.6,11.3,0.2,0
48.4,d_19221001,4.3,0,0,0,0,0,47.3,26.3,0,0,0
48.1,d_19221101,1.1,0,0,0,0,0,50.7,40.9,9.9,0,0
34.7,d_19221201,0,0,0,0,0,0,65.3,34.3,3.1,0,0
58.7,d_19230101,0,0,0,0,0,0,41.3,24.3,0,0,0
76.8,d_19230201,1.3,0,0,0,0,0,21.9,4,0,0,0
73.3,d_19230301,19.3,0.1,0,0,0,0,7.4,0,0,0,0
76.2,d_19230401,14.2,0.6,0,0,0,0,9.6,0,0,0,0
39.9,d_19230501,60.1,1,0,0,0,0,0,0,0,0,0
48.1,d_19230601,52,2.7,0,0,0,0,0,0,0,0,0
78.9,d_19230701,21.1,0,0,0,0,0,0,0,0,0,0
64.6,d_19230801,35.4,3.2,0,0,0,0,0,0,0,0,0
54.6,d_19230901,45.4,19.4,0.1,0,0,0,0,0,0,0,0
51.9,d_19231001,44.6,11.3,0.4,0,0,0,3.5,0,0,0,0
35.9,d_19231101,20.5,4.9,0,0,0,0,43.7,29.9,3.6,0,0
39,d_19231201,0.4,0,0,0,0,0,60.5,44,10.4,0.6,0
45.7,d_19240101,34.9,26.5,1.8,0,0,0,19.4,10.2,0,0,0
50.1,d_19240201,41.5,35.7,14.5,4.6,0,0,8.5,0.9,0,0,0
58.7,d_19240301,35.1,17.5,0,0,0,0,6.3,0.2,0,0,0
76.4,d_19240401,18.4,1.9,0,0,0,0,5.2,0,0,0,0
79.4,d_19240501,18.1,3.2,0,0,0,0,2.5,0,0,0,0
57.6,d_19240601,42.4,6.6,0,0,0,0,0,0,0,0,0
48,d_19240701,51.9,11.6,0,0,0,0,0,0,0,0,0
5.8,d_19240801,94.2,77.1,27.9,5.1,0,0,0,0,0,0,0
1.8,d_19240901,98.2,82.6,51.1,17.8,0.2,0,0,0,0,0,0
27.4,d_19241001,72.5,62.1,37.5,12.2,0.5,0,0,0,0,0,0
35.2,d_19241101,59.7,50.8,26.8,6.3,0,0,5.1,0.8,0,0,0
32.1,d_19241201,67.9,22,0,0,0,0,0,0,0,0,0
0,d_19250101,100.1,100.1,58.4,23.9,1,0,0,0,0,0,0
0,d_19250201,100.1,100.1,84.9,45.5,8.3,0,0,0,0,0,0
0,d_19250301,100.1,100.1,52.8,14.3,0,0,0,0,0,0,0
0.2,d_19250401,99.7,56.2,6,0.1,0,0,0,0,0,0,0
21,d_19250501,78.9,33.7,0.2,0,0,0,0,0,0,0,0
50.2,d_19250601,49.8,13.2,0,0,0,0,0,0,0,0,0
43.5,d_19250701,56.5,22.2,0.2,0,0,0,0,0,0,0,0
61.2,d_19250801,38.8,17.4,0.3,0,0,0,0,0,0,0,0
39.9,d_19250901,60.1,22.8,6.9,0.3,0,0,0,0,0,0,0
89.4,d_19251001,0.1,0,0,0,0,0,10.5,0,0,0,0
35.3,d_19251101,0,0,0,0,0,0,64.8,19,0,0,0
73.6,d_19251201,0,0,0,0,0,0,26.5,3,0,0,0
77.3,d_19260101,22.6,3.8,0,0,0,0,0,0,0,0,0
72.8,d_19260201,27.2,4.3,0,0,0,0,0,0,0,0,0
50,d_19260301,50,27.7,4.9,0,0,0,0,0,0,0,0
88.3,d_19260401,10.7,1.5,0,0,0,0,1,0,0,0,0
82.6,d_19260501,12,1,0,0,0,0,5.5,0,0,0,0
83.3,d_19260601,0.8,0,0,0,0,0,15.9,0,0,0,0
