boundary,counties
feature,"San Bernardino County, California"
feature id,36
center,"-115.967, 34.8403"
scenario,Medium (RCP 4.5)
climate indicator,Maximum Temperature
units,°F

year,Modeled RCP 4.5 Range Min,Modeled RCP 4.5 Range Max,Observed,CanESM2 (Average),CNRM-CM5 (Cool/Wet),HadGEM2-ES (Warm/Dry),MIROC5 (Complement)
2044,79.0457077026,85.8037261963,,83.2884674072,79.9376831055,84.0970611572,81.4270477295
2045,80.0804595947,86.8768157959,,83.8683776855,80.1025390625,82.0150375366,84.7547531128
2046,80.2939147949,85.7762069702,,83.035446167,81.5404281616,82.9570007324,83.0362167358
2047,79.6958236694,86.4229736328,,82.4399337769,82.19921875,83.4244232178,84.007019043
2048,78.9271697998,85.8036727905,,82.8495635986,82.0975494385,83.5160980225,81.0035858154
2049,80.2927703857,85.0161743164,,83.8271789551,80.8963012695,82.7153015137,82.7398071289
2050,78.5316009521,85.5905914307,,83.4782562256,81.9592285156,83.3116989136,85.4790267944
2051,80.2588729858,85.8465194702,,83.5595550537,81.0586776733,84.9544296265,83.972366333
2052,80.4536056519,86.4472503662,,82.4454269409,83.5434570312,82.3867034912,83.8357467651
2053,80.4859619141,85.4311828613,,84.1448974609,81.8687591553,83.2223815918,83.6818847656
2054,78.8489990234,86.6409912109,,84.5852890015,81.724395752,83.8940887451,82.8514862061
2055,80.3881225586,86.5313568115,,85.5033569336,81.8641357422,83.3136749268,82.4107055664
2056,78.9014587402,86.8304595947,,83.3759155273,80.8951416016,84.0017547607,84.6241760254
2057,80.4494857788,87.0953369141,,83.211227417,83.1115875244,85.8489379883,84.3404083252
2058,81.1242675781,87.4193725586,,85.5217590332,82.7512359619,86.2576293945,83.0096282959
2059,80.7580413818,87.2694091797,,83.5860824585,81.5559692383,85.501663208,83.5002288818
2060,79.1526641846,86.0076904297,,82.7495880127,82.4408721924,82.0666732788,81.4984588623
2061,79.287902832,87.6743164062,,84.741897583,81.9807052612,83.4618835449,85.1842651367
2062,79.9904174805,86.5971069336,,85.3726806641,84.0389938354,84.3903961182,84.4981689453
2063,81.1298141479,85.7591247559,,85.1566925049,81.8254699707,84.5404052734,84.9465179443
2064,79.4806060791,87.3464279175,,85.5409393311,82.3379821777,86.0817871094,85.059463501
2065,80.1983947754,86.7902984619,,84.4417572021,84.7210845947,83.874420166,84.261138916
2066,80.0011291504,86.204284668,,83.736541748,82.6082992554,85.7845001221,83.5346679688
2067,78.7107849121,87.5302276611,,82.4676208496,81.9844970703,83.9074325562,85.3045043945
2068,79.0548858643,86.197479248,,83.3981628418,83.7051239014,84.4465866089,83.6136016846
2069,79.547668457,86.3311309814,,84.6262664795,83.723526001,83.2752227783,84.1180419922
2070,80.0387115479,86.0081329346,,83.5152740479,83.3096618652,84.751953125,84.431640625
2071,80.9809494019,86.9607543945,,84.1416015625,83.1011962891,84.3191452026,83.9615936279
2072,78.8210906982,87.4685974121,,85.4800720215,84.4907531738,85.5843353271,86.4701080322
2073,80.6749801636,86.4176940918,,83.234954834,83.184753418,84.1253509521,82.7610092163
2074,80.6488342285,87.4389343262,,85.7266082764,82.3830795288,84.9259796143,81.8403549194
2075,80.9973754883,87.5050201416,,84.0589904785,83.7280807495,83.7819671631,85.3531799316
2076,81.3480529785,86.3943023682,,85.3943786621,84.6234664917,85.327255249,85.8572311401
2077,81.4258422852,85.7210006714,,84.5678710938,82.6399383545,84.9020233154,85.0427093506
2078,79.80519104,87.0660552979,,83.524230957,84.2577362061,84.7086639404,84.8213806152
2079,79.9356002808,87.6079559326,,85.0520477295,83.4656677246,86.8986816406,86.3694152832
2080,79.9864120483,87.0150756836,,83.6640853882,83.3481750488,84.7023468018,83.3809127808
2081,80.1244506836,87.7045822144,,83.3652572632,82.7879257202,86.5560760498,87.6885986328
2082,80.7551269531,87.0817718506,,85.5942687988,84.0782699585,85.8834381104,85.7203979492
2083,80.8675689697,87.7683563232,,83.5952606201,84.5921020508,86.5671691895,85.5337982178
2084,80.6031799316,88.2724151611,,83.8932037354,82.7043762207,85.1570739746,82.1281967163
2085,82.026184082,87.3124237061,,84.8810958862,83.4206237793,87.310836792,85.647064209
2086,80.3796691895,86.4653778076,,83.6985778809,85.2164001465,85.0742950439,86.3004760742
2087,80.6664123535,87.3988342285,,86.2324142456,83.6484832764,85.7988433838,84.0503082275
2088,80.4297637939,88.1426620483,,83.9071578979,82.6129150391,82.9133300781,85.7367095947
2089,80.1707077026,88.4482421875,,84.2132873535,84.0847473145,84.7952423096,83.9378051758
2090,80.2440948486,85.9358978271,,84.5882568359,83.4033203125,85.1549835205,84.4145050049
