boundary,counties
feature,"San Bernardino County, California"
feature id,36
center,"-115.967, 34.8403"
scenario,Medium (RCP 4.5)
climate indicator,Minimum Temperature
units,°F

year,Modeled RCP 4.5 Range Min,Modeled RCP 4.5 Range Max,Observed,CanESM2 (Average),CNRM-CM5 (Cool/Wet),HadGEM2-ES (Warm/Dry),MIROC5 (Complement)
1987,48.7160797119,53.8268127441,50.393283844,50.4813079834,50.8835220337,51.8351554871,50.3475494385
1988,49.601360321,54.1201477051,50.9075088501,50.8189201355,50.6367645264,51.5767593384,51.5922470093
1989,49.598613739,53.5580863953,51.0725517273,51.4763946533,51.1626281738,52.3366241455,51.3632354736
1990,49.0156784058,53.376373291,50.7675209045,51.6811828613,52.2161064148,51.9806671143,49.6305847168
1991,49.0522613525,53.7056884766,50.9319076538,52.9951477051,51.9324417114,51.7756652832,51.078086853
1992,48.6663131714,53.5136489868,52.3891830444,50.8194122314,53.5045852661,51.3766403198,52.1048126221
1993,49.352355957,53.669708252,50.4230575562,52.7723464966,50.9146652222,51.5352859497,50.2616386414
1994,49.6022949219,54.218421936,52.1794967651,50.8045806885,51.561378479,51.9592437744,51.4756851196
1995,48.7351455688,55.1268234253,52.9007568359,52.0587844849,52.3968315125,52.4146842957,50.4282989502
1996,49.5140190125,54.2580795288,53.7562255859,52.3139419556,53.3848876953,51.0713310242,51.1423034668
1997,49.4761734009,54.2005119324,53.2173309326,51.0139274597,52.2713127136,53.6289482117,52.5395431519
1998,48.9297103882,55.3367729187,50.7112998962,51.407787323,53.3563766479,53.2830963135,52.0688323975
1999,49.6375045776,53.5681381226,51.3388061523,52.0746574402,51.6116409302,51.7739639282,50.6940612793
2000,49.4411239624,54.6096420288,52.9477233887,52.3699150085,52.5024108887,50.9934387207,51.7105178833
2001,50.1536407471,53.8055534363,53.1143531799,51.7321014404,51.6367950439,51.7216644287,51.4734306335
2002,49.6923294067,53.4165802002,52.2225189209,52.8206863403,52.1579360962,51.897228241,52.0050048828
2003,49.9228744507,54.0044631958,52.9911575317,51.8065910339,50.0001068115,51.0847892761,52.1187133789
2004,50.1488647461,54.5858573914,51.8424530029,52.7925567627,50.7523956299,50.8199615479,52.2326965332
2005,50.2206039429,54.0687332153,52.5835456848,51.4399795532,52.6027145386,51.3656005859,51.9220581055
2006,50.5983123779,55.1188583374,52.3410606384,51.0667724609,53.1478042603,52.3397598267,51.5398979187
2007,49.3913040161,54.8729324341,,51.3601608276,53.7897872925,52.6783561707,53.7772636414
2008,50.1809997559,53.9886398315,,52.532787323,53.2619476318,52.9289550781,53.2800216675
2009,50.2646026611,54.6261749268,,54.5892105103,53.1636199951,52.6132049561,53.4366874695
2010,49.9335861206,54.5654220581,,54.013469696,53.4058151245,52.563659668,53.4424552917
2011,49.8721733093,54.5500946045,,54.258682251,52.6187553406,51.7673149109,53.4383926392
2012,50.5022964478,54.6747894287,,53.0275039673,52.991027832,53.8755912781,52.7558097839
2013,49.7462692261,54.890838623,,54.1281661987,53.527381897,53.0990753174,53.2520599365
2014,50.4545593262,54.9191818237,,53.2410736084,54.1562919617,53.7953910828,53.5586929321
2015,50.6778030396,55.4394378662,,54.1345939636,51.9965438843,52.7851982117,53.3916435242
2016,50.3795776367,54.5900878906,,52.7955780029,53.3555526733,53.7948989868,52.8111801147
2017,50.4272575378,56.8535461426,,52.4074325562,53.8059387207,53.8458709717,52.6787414551
2018,50.5360794067,56.7114944458,,54.5881652832,53.3826370239,53.5225448608,52.1445846558
2019,50.8357849121,56.2094726562,,54.0220947266,52.8045883179,53.7900619507,52.6030426025
2020,51.322479248,55.0670585632,,54.2468719482,52.3666763306,52.7778930664,52.0533447266
2021,51.0140914917,56.0143547058,,56.0097427368,51.98802948,52.9593887329,51.9412307739
2022,50.4531326294,55.9178924561,,54.6592483521,52.9680099487,53.7501296997,54.2840080261
2023,51.2076721191,55.6832275391,,54.8795776367,53.4218559265,53.7416687012,52.4458847046
2024,50.6581878662,56.3276290894,,54.5728912354,54.1241569519,53.8746032715,52.7147216797
2025,51.5065002441,55.5891838074,,55.4822311401,53.8266448975,53.9813346863,54.2322616577
