boundary,counties
feature,"San Bernardino County, California"
feature id,36
center,"-115.967, 34.8403"
scenario,Medium (RCP 4.5)
climate indicator,Precipitation
units,inch

year,Modeled RCP 4.5 Range Min,Modeled RCP 4.5 Range Max,Observed,CanESM2 (Average),CNRM-CM5 (Cool/Wet),HadGEM2-ES (Warm/Dry),MIROC5 (Complement)
1994,2.0906712725,13.5911531765,5.456464716,6.4538697385,5.1178086275,7.044041487,3.3448395235
1995,2.2373440405,11.0690482905,8.816758631499999,6.228692442,10.464642856000001,8.677920625,4.3852422395
1996,3.0869457114000003,11.5563005256,5.4895090476,5.022933309,8.0786787648,9.15885903,4.03916868
1997,2.3000893655000003,14.5287342975,5.8894462215,14.44701025,6.835584366000001,6.7702450955,6.8021141215
1998,2.2168874695,14.269964262499998,10.6987432345,4.886774687,9.8802989165,10.7951084905,9.764995672
1999,1.7744826495,12.584844052000001,3.9830622809999996,4.4958130035,1.8042901555000002,7.7952273645,5.24242784
2000,2.6089695852,14.416549314,4.6794786528,3.0680733606,7.9315862196,9.6678618546,5.0309200145999995
2001,2.4694200925,12.61269253,6.024252657,3.1964028200000003,6.7680166245,3.7966753595,3.2847776055
2002,2.7740858845,12.209699096,2.159281673,5.201838526,4.531824232,3.445666065,5.7411367205
2003,1.9997793739999998,11.782104808,7.137482071,7.03396391,2.714713342,4.124834559,10.394414155
2004,2.35487877,12.962763239400001,9.467944492800001,6.700632291,2.9052704118,3.2363806932,5.322905079
2005,1.833160305,17.268193362,10.8699700635,10.2757447345,2.572990047,3.9097565935,10.6225013775
2006,1.2821191845,13.621481391500001,3.4066097875,4.4622261414999995,6.9301638595,2.5694423565,2.321139317
